,JELD
% Above Low,0.1754
% Held by Institutions,0.9494
52-Wk Range,['8.38 - 27.60']
Annual Dividend $,
Annual Dividend %,
Ask,21.76
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,2.3
Bid,8.8
Bid Size,500.0
Closing Price,9.85
Day Change $,0.02
Day Change %,0.002
Day High,9.9
Day Low,9.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.5820000000000001
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,830.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.93
Prev Close,9.83
Short Interest,0.0325
Today's Open,9.83
Volume,236724.0
Volume 10-day Avg,645124.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.04705882352941171
Growth 1yr High Est,-0.125
Growth 1yr Consensus Est,-0.08602941176470585
Growth 2yr Low Est,-0.33217138707334787
Growth 2yr High Est,0.05178571428571421
Growth 2yr Consensus Est,-0.14019283639381683
Growth 5yr Low Est,-0.06268421513519548
Growth 5yr High Est,0.15592948717948713
Growth 5yr Consensus Est,0.04662263602214582
Growth 5yr Actual/Est,0.031564680012132224
Growth 3yr Historic,0.11370753715498938
Price/Earnings (TTM),16.92905
Price/Sales (TTM),0.16338
Price/Book (MRQ),1.32886
Price/Cash Flow (TTM),4.47286
5yr Low,6.06
5yr High,42.27
5yr Avg Return,-0.08035000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.0540814
Dividend Growth 5yr,
Short Int Current Month,2702163.0
Short Int Prev Month,2989926.0
Short Int Pct of Float,0.0325225
Days to Cover,2.37241
Float,83.13629
Shares Outstanding,84.33776
Institutions Holding Shares,232.0
FCF Growth 5yr,-1.3453246525852032
"Price/Earnings (TTM, GAAP)",16.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1809
Operating Profit Margin (TTM),0.0267
Net Profit Margin (TTM),0.010700000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7538999999999998
EPS Growth (TTM),-0.6541
Revenue Growth (MRQ),-0.026400000000000003
Revenue Growth (TTM),0.0968
Return On Equity (TTM),0.0745
Return On Assets (TTM),0.0146
Return On Investment (TTM),0.0194
Revenue Per Employee (TTM),205860.0
Total Debt/Total Capital (MRQ),0.7438
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),3.83
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-04-21 00:00:00
researchTeam since,2021-11-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
