,MASI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",47.93,61.36,Valuation,0.7811277705345502
Price/Sales (TTM),4.36,9.8,Valuation,0.4448979591836735
Price/Book (MRQ),6.08,10.31,Valuation,0.5897187196896218
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5499,0.6196,Profitability,0.8875080697224016
Operating Profit Margin (TTM),0.1226,0.047,Profitability,2.608510638297872
Net Profit Margin (TTM),0.0978,0.009300000000000001,Profitability,10.516129032258064
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),1.1403,-0.4858,Gowth rates,-2.347262247838617
EPS Growth (TTM),-0.2475,-0.2029,Gowth rates,1.21981271562346
Revenue Growth (MRQ),-0.028300000000000002,0.1161,Gowth rates,-0.24375538329026705
Revenue Growth (TTM),0.4474,0.18300000000000002,Gowth rates,2.4448087431693986
Return On Equity (TTM),0.12560000000000002,0.1068,Effectiveness,1.1760299625468165
Return On Assets (TTM),0.0708,0.0622,Effectiveness,1.1382636655948553
Return On Investment (TTM),0.0853,0.0732,Effectiveness,1.1653005464480874
Revenue Per Employee (TTM),793827.0,403586.0,Effectiveness,1.966933937252531
Total Debt/Total Capital (MRQ),0.43520000000000003,0.3161,Financial strength,1.376779500158178
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),1.28,2.25,Financial strength,0.5688888888888889
Interest Coverage (MRQ),20.11,14.99,Financial strength,1.341561040693796
