,MASI
% Above Low,0.33030000000000004
% Held by Institutions,0.8521
52-Wk Range,['108.89 - 299.78']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,153.85
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Bid close,134.82
Change Since Close,-0.65| |(-0.45%)
Closing Price,144.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.02
Ex-dividend Date,No dividend
Historical Volatility,0.66
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,144.2
Market Cap,7.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",47.93
Prev Close,144.85
Short Interest,0.054900000000000004
Today's Open,
Volume,3.0
Volume 10-day Avg,738320.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3899371069182389
Growth 1yr High Est,0.40438871473354254
Growth 1yr Consensus Est,0.3971629108258907
Growth 2yr Low Est,0.15876945843649498
Growth 2yr High Est,0.23232828593819976
Growth 2yr Consensus Est,0.19554887218734737
Growth 5yr Low Est,0.07938472921824749
Growth 5yr High Est,0.11616414296909988
Growth 5yr Consensus Est,0.09777443609367369
Growth 5yr Actual/Est,0.08428489855562202
Growth 3yr Historic,0.05658643892339543
Price/Earnings (TTM),47.92644
Price/Sales (TTM),4.35977
Price/Book (MRQ),6.07855
Price/Cash Flow (TTM),26.91855
5yr Low,80.69
5yr High,305.21
5yr Avg Return,0.16700000000000004
EPS Growth 5yr,-0.0740254
Revenue Growth 5yr,0.1169134
Dividend Growth 5yr,
Short Int Current Month,2633138.0
Short Int Prev Month,2914649.0
Short Int Pct of Float,0.0549221
Days to Cover,3.42554
Float,48.14905
Shares Outstanding,52.56466
Institutions Holding Shares,608.0
FCF Growth 5yr,-inf
"Price/Earnings (TTM, GAAP)",47.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5499
Operating Profit Margin (TTM),0.1226
Net Profit Margin (TTM),0.0978
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1403
EPS Growth (TTM),-0.2475
Revenue Growth (MRQ),-0.028300000000000002
Revenue Growth (TTM),0.4474
Return On Equity (TTM),0.12560000000000002
Return On Assets (TTM),0.0708
Return On Investment (TTM),0.0853
Revenue Per Employee (TTM),793827.0
Total Debt/Total Capital (MRQ),0.43520000000000003
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),20.11
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-30 00:00:00
theStreet since,2022-02-23 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
