,CABO
% Above Low,0.1512
% Held by Institutions,0.9056000000000001
52-Wk Range,"['620.57 - 1,869.42']"
Annual Dividend $,11.4
Annual Dividend %,0.016
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,293.28
Bid Size,
Closing Price,714.38
Day Change $,4.64
Day Change %,0.006500000000000001
Day High,720.91
Day Low,698.88
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",59.76
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.41100000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",11.95
Prev Close,709.74
Short Interest,0.0526
Today's Open,716.74
Volume,50144.0
Volume 10-day Avg,130498.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.2813093980992609
Growth 1yr High Est,0.28485973597359737
Growth 1yr Consensus Est,0.28308456703642915
Growth 2yr Low Est,0.0343418590957818
Growth 2yr High Est,0.09731829309516282
Growth 2yr Consensus Est,0.06583007609547231
Growth 5yr Low Est,0.15401733477664908
Growth 5yr High Est,0.17907345916528383
Growth 5yr Consensus Est,0.16654539697096646
Growth 5yr Actual/Est,0.1544821827911287
Growth 3yr Historic,0.11229115493165359
Price/Earnings (TTM),11.95367
Price/Sales (TTM),2.42256
Price/Book (MRQ),2.19456
Price/Cash Flow (TTM),5.66231
5yr Low,597.4
5yr High,2326.8
5yr Avg Return,0.13471666666666665
EPS Growth 5yr,0.2174471
Revenue Growth 5yr,0.1440541
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,275776.0
Short Int Prev Month,305677.0
Short Int Pct of Float,0.052584799999999994
Days to Cover,1.69709
Float,5.2465
Shares Outstanding,5.80941
Institutions Holding Shares,534.0
FCF Growth 5yr,0.23735120789915312
"Price/Earnings (TTM, GAAP)",11.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7209000000000001
Operating Profit Margin (TTM),0.3045
Net Profit Margin (TTM),0.2197
Annual Dividend Yield,0.016
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.1187
EPS Growth (MRQ),0.037000000000000005
EPS Growth (TTM),0.11199999999999999
Revenue Growth (MRQ),-0.0102
Revenue Growth (TTM),0.1345
Return On Equity (TTM),0.2073
Return On Assets (TTM),0.054400000000000004
Return On Investment (TTM),0.0567
Revenue Per Employee (TTM),472193.0
Total Debt/Total Capital (MRQ),0.6691
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.4
Interest Coverage (MRQ),3.69
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-07-15 00:00:00
ford since,2022-07-15 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-09-21 00:00:00
marketEdge opinion since,
