,QTWO
% Above Low,0.2107
% Held by Institutions,1.0131999999999999
52-Wk Range,['20.93 - 82.92']
Annual Dividend $,
Annual Dividend %,
Ask,25.37
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.5
Bid,25.3
Bid Size,200.0
Day Change $,-0.69
Day Change %,-0.0265
Day High,26.59
Day Low,25.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.78
Ex-dividend Date,No dividend
Historical Volatility,0.654
Last (size),1.0
Last (time),12:09p ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,26.03
Price,25.34
Short Interest,0.0482
Today's Open,25.74
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.6363636363636365
Growth 2yr High Est,0.48979591836734704
Growth 2yr Consensus Est,-0.5732838589981447
Growth 5yr Low Est,-1.6363636363636365
Growth 5yr High Est,0.48979591836734704
Growth 5yr Consensus Est,-0.5732838589981447
Growth 5yr Actual/Est,0.7050304878048781
Growth 3yr Historic,0.5487804878048781
Price/Earnings (TTM),
Price/Sales (TTM),2.71707
Price/Book (MRQ),3.47899
Price/Cash Flow (TTM),
5yr Low,20.93
5yr High,148.56
5yr Avg Return,0.058316666666666676
EPS Growth 5yr,
Revenue Growth 5yr,0.2712281
Dividend Growth 5yr,
Short Int Current Month,2660842.0
Short Int Prev Month,2875418.0
Short Int Pct of Float,0.0481798
Days to Cover,3.3089
Float,55.31095
Shares Outstanding,57.51699
Institutions Holding Shares,291.0
FCF Growth 5yr,-0.6690480655452227
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.45299999999999996
Operating Profit Margin (TTM),-0.163
Net Profit Margin (TTM),-0.185
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0994
EPS Growth (TTM),0.2049
Revenue Growth (MRQ),0.0317
Revenue Growth (TTM),0.15810000000000002
Return On Equity (TTM),-0.20149999999999998
Return On Assets (TTM),-0.0752
Return On Investment (TTM),-0.08560000000000001
Revenue Per Employee (TTM),272244.0
Total Debt/Total Capital (MRQ),0.6082
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),-91.97
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2021-09-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
