,QTWO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.72,9.39,Valuation,0.2896698615548456
Price/Book (MRQ),3.48,12.63,Valuation,0.2755344418052256
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.45299999999999996,0.7206,Profitability,0.6286427976686094
Operating Profit Margin (TTM),-0.163,0.2172,Profitability,-0.7504604051565378
Net Profit Margin (TTM),-0.185,0.1553,Profitability,-1.1912427559562138
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.0994,-0.0752,Gowth rates,1.3218085106382977
EPS Growth (TTM),0.2049,-0.2824,Gowth rates,-0.7255665722379604
Revenue Growth (MRQ),0.0317,0.15560000000000002,Gowth rates,0.20372750642673518
Revenue Growth (TTM),0.15810000000000002,0.1906,Gowth rates,0.8294858342077651
Return On Equity (TTM),-0.20149999999999998,0.2189,Effectiveness,-0.9205116491548652
Return On Assets (TTM),-0.0752,0.10740000000000001,Effectiveness,-0.7001862197392923
Return On Investment (TTM),-0.08560000000000001,0.1387,Effectiveness,-0.6171593366979092
Revenue Per Employee (TTM),272244.0,667721.0,Effectiveness,0.4077211889396919
Total Debt/Total Capital (MRQ),0.6082,0.39659999999999995,Financial strength,1.5335350479072114
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.0004,Financial strength,6.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-91.97,0.28,Financial strength,-328.46428571428567
