,MATX
% Above Low,0.06559999999999999
% Held by Institutions,0.8432999999999999
52-Wk Range,['60.35 - 125.34']
Annual Dividend $,1.24
Annual Dividend %,0.019299999999999998
Ask,84.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,45.28
Bid Size,100.0
Change Since Close,-0.40| |(-0.62%)
Closing Price,64.31
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",34.08
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.49
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,63.91
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1.89
Prev Close,64.31
Short Interest,0.0406
Today's Open,
Volume,2.0
Volume 10-day Avg,336427.0
Volume Past Day,(Light)
Price/Earnings (TTM),1.88712
Price/Sales (TTM),0.5053
Price/Book (MRQ),1.05702
Price/Cash Flow (TTM),1.59742
5yr Low,23.75
5yr High,125.34
5yr Avg Return,0.18111666666666668
EPS Growth 5yr,0.6326592999999999
Revenue Growth 5yr,0.1511784
Dividend Growth 5yr,0.0745208
Short Int Current Month,1504660.0
Short Int Prev Month,1581355.0
Short Int Pct of Float,0.0406375
Days to Cover,3.60547
Float,37.06345
Shares Outstanding,37.78068
Institutions Holding Shares,415.0
FCF Growth 5yr,0.5439453139352625
"Price/Earnings (TTM, GAAP)",1.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.39299999999999996
Operating Profit Margin (TTM),0.3611
Net Profit Margin (TTM),0.2871
Annual Dividend Yield,0.0193
Dividend Change %,0.1778
"Dividend Growth Rate, 3 Years",0.0893
EPS Growth (MRQ),-0.2741
EPS Growth (TTM),1.4032
Revenue Growth (MRQ),-0.11599999999999999
Revenue Growth (TTM),0.4318
Return On Equity (TTM),0.7578
Return On Assets (TTM),0.3594
Return On Investment (TTM),0.4225
Revenue Per Employee (TTM),1128997.0
Total Debt/Total Capital (MRQ),0.1841
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-08-29 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
