,MATX
Price/Earnings (TTM),1.88712
Price/Sales (TTM),0.5053
Price/Book (MRQ),1.05702
Price/Cash Flow (TTM),1.59742
5yr Low,23.75
5yr High,125.34
5yr Avg Return,0.18111666666666668
EPS Growth 5yr,0.6326592999999999
Revenue Growth 5yr,0.1511784
Dividend Growth 5yr,0.0745208
Short Int Current Month,1504660.0
Short Int Prev Month,1581355.0
Short Int Pct of Float,0.0406375
Days to Cover,3.60547
Float,37.06345
Shares Outstanding,37.78068
Institutions Holding Shares,415.0
% Held by Institutions,0.8432649999999999
FCF Growth 5yr,0.5439453139352625
