,BFST
% Above Low,0.1783
% Held by Institutions,0.3148
52-Wk Range,['20.19 - 29.50']
Annual Dividend $,0.48
Annual Dividend %,0.0202
Ask,23.79
Ask Size,600.0
B/A Ratio,1.3333333333333333
B/A Size,800x600
Beta,0.9
Bid,22.03
Bid Size,800.0
Closing Price,23.79
Day Change $,0.43
Day Change %,0.0184
Day High,23.91
Day Low,23.48
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",2.22
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.267
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,597.5M
"P/E Ratio (TTM, GAAP)",10.72
Prev Close,23.36
Short Interest,0.0052
Today's Open,23.49
Volume,21175.0
Volume 10-day Avg,86377.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.008298755186721962
Growth 1yr High Est,-0.004032258064516014
Growth 1yr Consensus Est,0.002133248561102974
Growth 2yr Low Est,0.039128801461673746
Growth 2yr High Est,0.06276119890296461
Growth 2yr Consensus Est,0.05094500018231918
Growth 5yr Low Est,0.10615657950178659
Growth 5yr High Est,0.11471393278481562
Growth 5yr Consensus Est,0.1104352561433011
Growth 5yr Actual/Est,0.11086387332978759
Growth 3yr Historic,0.09325880758807586
Price/Earnings (TTM),10.72172
Price/Sales (TTM),2.84584
Price/Book (MRQ),1.23345
Price/Cash Flow (TTM),11.25954
5yr Low,9.17
5yr High,30.0
5yr Avg Return,0.0040800000000000055
EPS Growth 5yr,0.2926772
Revenue Growth 5yr,0.3145567
Dividend Growth 5yr,
Short Int Current Month,121998.0
Short Int Prev Month,230335.0
Short Int Pct of Float,0.0051776
Days to Cover,1.69691
Float,23.56247
Shares Outstanding,25.10514
Institutions Holding Shares,123.0
FCF Growth 5yr,0.3334298318169287
"Price/Earnings (TTM, GAAP)",10.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2871
Net Profit Margin (TTM),0.2304
Annual Dividend Yield,0.0202
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),0.0034000000000000002
EPS Growth (TTM),-0.1469
Revenue Growth (MRQ),0.1751
Revenue Growth (TTM),0.1818
Return On Equity (TTM),0.1116
Return On Assets (TTM),0.0095
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2021-04-13 00:00:00
newConstructs since,
marketEdge opinion since,
