,BFST
Price/Earnings (TTM),10.72172
Price/Sales (TTM),2.84584
Price/Book (MRQ),1.23345
Price/Cash Flow (TTM),11.25954
5yr Low,9.17
5yr High,30.0
5yr Avg Return,0.0040800000000000055
EPS Growth 5yr,0.2926772
Revenue Growth 5yr,0.3145567
Dividend Growth 5yr,
Short Int Current Month,121998.0
Short Int Prev Month,230335.0
Short Int Pct of Float,0.0051776
Days to Cover,1.69691
Float,23.56247
Shares Outstanding,25.10514
Institutions Holding Shares,123.0
% Held by Institutions,0.314826
FCF Growth 5yr,0.3334298318169287
