,BFST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.72,11.43,Valuation,0.9378827646544182
Price/Sales (TTM),2.85,3.3,Valuation,0.8636363636363638
Price/Book (MRQ),1.23,1.46,Valuation,0.8424657534246576
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.2871,0.34240000000000004,Profitability,0.8384929906542056
Net Profit Margin (TTM),0.2304,0.2812,Profitability,0.8193456614509246
Annual Dividend Yield,0.0202,0.028700000000000003,Dividend,0.7038327526132403
Dividend Change %,0.2,-0.0086,Dividend,-23.255813953488374
"Dividend Growth Rate, 3 Years",0.14470000000000002,0.0734,Dividend,1.971389645776567
EPS Growth (MRQ),0.0034000000000000002,-0.0335,Gowth rates,-0.10149253731343284
EPS Growth (TTM),-0.1469,-0.09960000000000001,Gowth rates,1.4748995983935742
Revenue Growth (MRQ),0.1751,0.5429,Gowth rates,0.3225271689077178
Revenue Growth (TTM),0.1818,0.2466,Gowth rates,0.7372262773722627
Return On Equity (TTM),0.1116,0.1135,Effectiveness,0.9832599118942731
Return On Assets (TTM),0.0095,0.0099,Effectiveness,0.9595959595959594
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0009,Financial strength,-1.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
