,GOLF
% Above Low,0.177
% Held by Institutions,0.48479999999999995
52-Wk Range,['37.46 - 56.48']
Annual Dividend $,0.72
Annual Dividend %,0.0163
Ask,58.05
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,44.09
Day Change $,-0.51
Day Change %,-0.011399999999999999
Day High,44.8
Day Low,44.09
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",2.36
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.34299999999999997
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.67
Prev Close,44.6
Short Interest,0.1446
Today's Open,44.25
Volume,110922.0
Volume 10-day Avg,284816.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.10041841004184082
Growth 1yr High Est,0.07936507936507953
Growth 1yr Consensus Est,0.08989174470346017
Growth 2yr Low Est,0.02169209475476075
Growth 2yr High Est,0.05438842203548089
Growth 2yr Consensus Est,0.03804025839512082
Growth 5yr Low Est,0.14385886789020091
Growth 5yr High Est,0.16849855884382736
Growth 5yr Consensus Est,0.15617871336701414
Growth 5yr Actual/Est,0.19368930309112484
Growth 3yr Historic,0.16484374999999993
Price/Earnings (TTM),18.66575
Price/Sales (TTM),1.37977
Price/Book (MRQ),3.04228
Price/Cash Flow (TTM),14.07699
5yr Low,17.55
5yr High,57.87
5yr Avg Return,0.16088333333333335
EPS Growth 5yr,0.30974029999999997
Revenue Growth 5yr,0.064384
Dividend Growth 5yr,
Short Int Current Month,4589255.0
Short Int Prev Month,4739530.0
Short Int Pct of Float,0.1446036
Days to Cover,13.88537
Float,31.96723
Shares Outstanding,70.20903
Institutions Holding Shares,261.0
FCF Growth 5yr,-0.7230344222844621
"Price/Earnings (TTM, GAAP)",18.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5171
Operating Profit Margin (TTM),0.11050000000000001
Net Profit Margin (TTM),0.0796
Annual Dividend Yield,0.0163
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2086
EPS Growth (TTM),-0.2168
Revenue Growth (MRQ),-0.1524
Revenue Growth (TTM),0.044500000000000005
Return On Equity (TTM),0.161
Return On Assets (TTM),0.0855
Return On Investment (TTM),0.1131
Revenue Per Employee (TTM),345154.0
Total Debt/Total Capital (MRQ),0.2925
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),16.06
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-09 00:00:00
researchTeam since,2021-05-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
marketEdge opinion since,
