,ENSG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.1,29.13,Valuation,0.8616546515619636
Price/Sales (TTM),1.8,1.32,Valuation,1.3636363636363635
Price/Book (MRQ),4.42,4.31,Valuation,1.025522041763341
"PEG Ratio (TTM, GAAP)",1.67,0.26,Valuation,6.4230769230769225
Gross Profit Margin (TTM),0.2302,0.1318,Profitability,1.746585735963581
Operating Profit Margin (TTM),0.0987,0.0458,Profitability,2.1550218340611353
Net Profit Margin (TTM),0.0733,0.0242,Profitability,3.028925619834711
Annual Dividend Yield,0.0023,0.0108,Dividend,0.21296296296296294
Dividend Change %,0.05,7.1517,Dividend,0.00699134471524253
"Dividend Growth Rate, 3 Years",0.0527,0.3483,Dividend,0.1513063451047947
EPS Growth (MRQ),-0.0267,-0.1478,Gowth rates,0.18064952638700948
EPS Growth (TTM),0.10830000000000001,-1.101,Gowth rates,-0.09836512261580382
Revenue Growth (MRQ),0.0512,0.0931,Gowth rates,0.5499462943071965
Revenue Growth (TTM),0.1349,0.1191,Gowth rates,1.1326616288832914
Return On Equity (TTM),0.1972,7.2022,Effectiveness,0.027380522618088914
Return On Assets (TTM),0.0701,0.0403,Effectiveness,1.7394540942928038
Return On Investment (TTM),0.0848,0.016,Effectiveness,5.3
Revenue Per Employee (TTM),112320.0,1375304.0,Effectiveness,0.08166921640597279
Total Debt/Total Capital (MRQ),0.11539999999999999,0.4855,Financial strength,0.23769309989701337
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0015,Financial strength,-0.5333333333333333
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),34.67,9.55,Financial strength,3.630366492146597
