,ENSG
% Below High,0.010700000000000001
% Held by Institutions,0.9157
52-Wk Range,['70.29 - 95.14']
Annual Dividend $,0.22
Annual Dividend %,0.0023
Ask,149.88
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,85.0
Bid Size,200.0
Closing Price,94.12
Day Change $,1.19
Day Change %,0.0128
Day High,94.31
Day Low,93.28
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",3.75
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.316
Last (size),26.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.1
Prev Close,92.93
Short Interest,0.031400000000000004
Today's Open,93.4
Volume,68868.0
Volume 10-day Avg,180386.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.14404432132963985
Growth 1yr High Est,0.13698630136986312
Growth 1yr Consensus Est,0.14051531134975148
Growth 2yr Low Est,0.12892288705707167
Growth 2yr High Est,0.13837266875722076
Growth 2yr Consensus Est,0.13364777790714621
Growth 5yr Low Est,0.21109506294256364
Growth 5yr High Est,0.2161997376420136
Growth 5yr Consensus Est,0.21364740029228863
Growth 5yr Actual/Est,0.2058068069482415
Growth 3yr Historic,0.14006518142400726
Price/Earnings (TTM),25.09974
Price/Sales (TTM),1.79513
Price/Book (MRQ),4.42383
Price/Cash Flow (TTM),19.11689
5yr Low,21.67
5yr High,98.66
5yr Avg Return,0.29069999999999996
EPS Growth 5yr,0.28954789999999997
Revenue Growth 5yr,0.09686909999999999
Dividend Growth 5yr,0.0558929
Short Int Current Month,1675910.0
Short Int Prev Month,1904010.0
Short Int Pct of Float,0.0313818
Days to Cover,8.32254
Float,53.44174
Shares Outstanding,55.48426
Institutions Holding Shares,421.0
FCF Growth 5yr,1.3949035800948695
"Price/Earnings (TTM, GAAP)",25.1
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),0.2302
Operating Profit Margin (TTM),0.0987
Net Profit Margin (TTM),0.0733
Annual Dividend Yield,0.0023
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.0267
EPS Growth (TTM),0.10830000000000001
Revenue Growth (MRQ),0.0512
Revenue Growth (TTM),0.1349
Return On Equity (TTM),0.1972
Return On Assets (TTM),0.0701
Return On Investment (TTM),0.0848
Revenue Per Employee (TTM),112320.0
Total Debt/Total Capital (MRQ),0.11539999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),34.67
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2017-08-08 00:00:00
