,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,24.74,48.96,63.0,77.27,98.66,95.14,,,,,
low,21.83,21.67,37.3,24.06,68.29,70.29,,,,,
change,-0.0688,0.7456999999999999,0.1834,0.6111,0.14980000000000002,0.12300000000000001,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,262.0,249.0,286.0,309.0,Balance Sheet
Short Term Investments,,,,,,,14.0,12.0,9.0,12.0,Balance Sheet
Cash and Short Term Invs,,,,,,,276.0,261.0,295.0,321.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,340.0,353.0,347.0,362.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-11.0,-13.0,-8.0,-8.0,Balance Sheet
"Total Receivables, Net",,,,,,,329.0,340.0,339.0,354.0,Balance Sheet
Prepaid Expenses,,,,,,,35.0,33.0,49.0,52.0,Balance Sheet
Total Current Assets,,,,,,,640.0,633.0,683.0,727.0,Balance Sheet
Buildings,,,,,,,786.0,810.0,815.0,858.0,Balance Sheet
Land/Improvements,,,,,,,121.0,123.0,121.0,133.0,Balance Sheet
Machinery/Equipment,,,,,,,262.0,270.0,279.0,293.0,Balance Sheet
Construction in Progress,,,,,,,10.0,10.0,11.0,13.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,1143.0,1299.0,1309.0,1354.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,2323.0,2512.0,2536.0,2651.0,Balance Sheet
Accumulated Depreciation,,,,,,,-296.0,-310.0,-322.0,-338.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,2027.0,2202.0,2213.0,2313.0,Balance Sheet
"Goodwill, Net",,,,,,,60.0,77.0,77.0,77.0,Balance Sheet
Intangibles - Gross,,,,,,,9.0,9.0,9.0,10.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
Intangibles - Net,,,,,,,6.0,6.0,6.0,7.0,Balance Sheet
Long Term Investments,,,,,,,37.0,38.0,40.0,42.0,Balance Sheet
Deferred Charges,,,,,,,19.0,27.0,27.0,27.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,33.0,33.0,33.0,34.0,Balance Sheet
Restricted Cash - LT,,,,,,,0.0,0.0,16.0,8.0,Balance Sheet
Other Long Term Assets,,,,,,,28.0,28.0,30.0,32.0,Balance Sheet
Total Assets,,,,,,,2851.0,3045.0,3125.0,3265.0,Balance Sheet
Accounts Payable,,,,,,,58.0,57.0,60.0,63.0,Balance Sheet
