,SE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-577.59,Valuation,
Price/Sales (TTM),2.02,6.3,Valuation,0.32063492063492066
Price/Book (MRQ),6.19,7.63,Valuation,0.8112712975098297
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.39270000000000005,0.41159999999999997,Profitability,0.9540816326530615
Operating Profit Margin (TTM),-0.18600000000000003,0.0672,Profitability,-2.7678571428571432
Net Profit Margin (TTM),-0.2217,0.0336,Profitability,-6.5982142857142865
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),0.3969,-1.1815,Gowth rates,-0.335928903935675
EPS Growth (TTM),-0.3492,0.2345,Gowth rates,-1.489125799573561
Revenue Growth (MRQ),0.0725,0.2214,Gowth rates,0.32746160794941276
Revenue Growth (TTM),0.47240000000000004,0.44170000000000004,Gowth rates,1.0695041883631424
Return On Equity (TTM),-0.4251,0.1716,Effectiveness,-2.477272727272727
Return On Assets (TTM),-0.1512,0.0233,Effectiveness,-6.489270386266094
Return On Investment (TTM),-0.2432,0.027999999999999997,Effectiveness,-8.685714285714287
Revenue Per Employee (TTM),181579.0,999442.0,Effectiveness,0.1816803776507291
Total Debt/Total Capital (MRQ),0.4604,0.4204,Financial strength,1.0951474785918174
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0014000000000000002,Financial strength,2.142857142857143
Quick Ratio (MRQ),1.77,0.41,Financial strength,4.317073170731708
Interest Coverage (MRQ),-54.03,-3.12,Financial strength,17.317307692307693
