,SE
% Above Low,0.3225
% Held by Institutions,0.7696
52-Wk Range,['40.67 - 307.86']
Annual Dividend $,
Annual Dividend %,
Ask,53.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,53.73
Bid Size,100.0
Day Change $,-0.54
Day Change %,-0.009899999999999999
Day High,54.91
Day Low,53.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.85
Ex-dividend Date,No dividend
Historical Volatility,0.9620000000000001
Last (size),2.0
Last (time),1:53p ET 11/28/22
Market Cap,30.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,54.32
Price,53.78
Short Interest,0.0741
Today's Open,54.32
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2602230483271375
Growth 2yr High Est,-0.9538461538461539
Growth 2yr Consensus Est,-0.6070346010866456
Growth 5yr Low Est,-0.2602230483271375
Growth 5yr High Est,-0.9538461538461539
Growth 5yr Consensus Est,-0.6070346010866456
Growth 5yr Actual/Est,0.11174467529500631
Growth 3yr Historic,0.19282374100719424
Price/Earnings (TTM),
Price/Sales (TTM),2.0238
Price/Book (MRQ),6.18644
Price/Cash Flow (TTM),
5yr Low,10.06
5yr High,372.7
5yr Avg Return,0.9716000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.9582926
Dividend Growth 5yr,
Short Int Current Month,26002566.0
Short Int Prev Month,26158995.0
Short Int Pct of Float,0.0740875
Days to Cover,2.61637
Float,253.7103
Shares Outstanding,455.29
Institutions Holding Shares,879.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.39270000000000005
Operating Profit Margin (TTM),-0.18600000000000003
Net Profit Margin (TTM),-0.2217
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3969
EPS Growth (TTM),-0.3492
Revenue Growth (MRQ),0.0725
Revenue Growth (TTM),0.47240000000000004
Return On Equity (TTM),-0.4251
Return On Assets (TTM),-0.1512
Return On Investment (TTM),-0.2432
Revenue Per Employee (TTM),181579.0
Total Debt/Total Capital (MRQ),0.4604
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),1.77
Interest Coverage (MRQ),-54.03
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-23 00:00:00
theStreet since,2019-03-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-13 00:00:00
ford since,
marketEdge opinion since,
