,MRO
% Below High,0.091
% Held by Institutions,0.7759999999999999
52-Wk Range,['14.29 - 33.42']
Annual Dividend $,0.36
Annual Dividend %,0.0118
Ask,29.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.5
Bid,28.84
Bid Size,100.0
Change Since Close,-1.17| |(-3.85%)
Closing Price,30.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.528
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,29.21
Market Cap,19.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.84
Prev Close,30.38
Short Interest,0.0394
Today's Open,
Volume,4796.0
Volume 10-day Avg,9751807.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,5.222222222222223
Growth 1yr High Est,5.411764705882353
Growth 1yr Consensus Est,5.316993464052288
Growth 2yr Low Est,2.42249503968254
Growth 2yr High Est,2.7811117107393417
Growth 2yr Consensus Est,2.601803375210941
Growth 5yr Low Est,1.21124751984127
Growth 5yr High Est,1.3905558553696709
Growth 5yr Consensus Est,1.3009016876054704
Growth 5yr Actual/Est,-0.7409827944477418
Growth 3yr Historic,-1.225028735632184
Price/Earnings (TTM),5.84172
Price/Sales (TTM),2.3734
Price/Book (MRQ),1.74616
Price/Cash Flow (TTM),3.46318
5yr Low,3.02
5yr High,33.42
5yr Avg Return,0.29031666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1005417
Dividend Growth 5yr,0.0192449
Short Int Current Month,25008422.0
Short Int Prev Month,22535214.0
Short Int Pct of Float,0.0394433
Days to Cover,1.80447
Float,634.0781
Shares Outstanding,635.0678
Institutions Holding Shares,985.0
FCF Growth 5yr,0.5607634859037746
"Price/Earnings (TTM, GAAP)",5.84
"PEG Ratio (TTM, GAAP)",0.28
Gross Profit Margin (TTM),0.9181999999999999
Operating Profit Margin (TTM),0.48490000000000005
Net Profit Margin (TTM),0.4596
Annual Dividend Yield,0.0118
Dividend Change %,1.0
"Dividend Growth Rate, 3 Years",0.0323
EPS Growth (MRQ),-0.1127
EPS Growth (TTM),104.30790000000002
Revenue Growth (MRQ),-0.0256
Revenue Growth (TTM),0.8113
Return On Equity (TTM),0.33990000000000004
Return On Assets (TTM),0.2134
Return On Investment (TTM),0.24170000000000003
Revenue Per Employee (TTM),5309602.0
Total Debt/Total Capital (MRQ),0.2637
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),22.1
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-17 00:00:00
cfra since,2019-12-20 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
