,MRO
Price/Earnings (TTM),5.84172
Price/Sales (TTM),2.3734
Price/Book (MRQ),1.74616
Price/Cash Flow (TTM),3.46318
5yr Low,3.02
5yr High,33.42
5yr Avg Return,0.29031666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1005417
Dividend Growth 5yr,0.0192449
Short Int Current Month,25008422.0
Short Int Prev Month,22535214.0
Short Int Pct of Float,0.0394433
Days to Cover,1.80447
Float,634.0781
Shares Outstanding,635.0678
Institutions Holding Shares,985.0
% Held by Institutions,0.776008
FCF Growth 5yr,0.5607634859037746
