,FIX
% Below High,0.0207
% Held by Institutions,0.9606999999999999
52-Wk Range,['74.14 - 128.68']
Annual Dividend $,0.6
Annual Dividend %,0.0048
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,85.46
Bid Size,
Closing Price,126.02
Day Change $,-0.04
Day Change %,-0.0003
Day High,127.27
Day Low,125.69
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",6.31
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35600000000000004
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.96
Prev Close,126.06
Short Interest,0.0181
Today's Open,126.71
Volume,118301.0
Volume 10-day Avg,232814.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3153846153846154
Growth 1yr High Est,0.31313131313131315
Growth 1yr Consensus Est,0.31425796425796426
Growth 2yr Low Est,0.21812115759484185
Growth 2yr High Est,0.2873348873348873
Growth 2yr Consensus Est,0.2527280224648646
Growth 5yr Low Est,0.1987818331528216
Growth 5yr High Est,0.2292606640064267
Growth 5yr Consensus Est,0.21402124857962415
Growth 5yr Actual/Est,0.20769065094031974
Growth 3yr Historic,0.08105338223308883
Price/Earnings (TTM),19.95749
Price/Sales (TTM),1.16171
Price/Book (MRQ),4.73987
Price/Cash Flow (TTM),14.61718
5yr Low,27.54
5yr High,128.68
5yr Avg Return,0.2273
EPS Growth 5yr,0.18037140000000002
Revenue Growth 5yr,0.1346502
Dividend Growth 5yr,0.1178453
Short Int Current Month,632037.0
Short Int Prev Month,762636.0
Short Int Pct of Float,0.0180646
Days to Cover,2.69692
Float,34.97432
Shares Outstanding,35.76082
Institutions Holding Shares,382.0
FCF Growth 5yr,0.16341776971945357
"Price/Earnings (TTM, GAAP)",19.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1764
Operating Profit Margin (TTM),0.0575
Net Profit Margin (TTM),0.0588
Annual Dividend Yield,0.0048
Dividend Change %,0.1294
"Dividend Growth Rate, 3 Years",0.133
EPS Growth (MRQ),0.46020000000000005
EPS Growth (TTM),0.5515
Revenue Growth (MRQ),0.1003
Revenue Growth (TTM),0.3301
Return On Equity (TTM),0.26480000000000004
Return On Assets (TTM),0.1014
Return On Investment (TTM),0.1681
Revenue Per Employee (TTM),293883.0
Total Debt/Total Capital (MRQ),0.2859
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),11.5
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-06-25 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
