,DVA
% Above Low,0.13240000000000002
% Held by Institutions,0.8954000000000001
52-Wk Range,['65.28 - 124.81']
Annual Dividend $,
Annual Dividend %,
Ask,74.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,68.15
Bid Size,100.0
Closing Price,73.92
Day Change $,1.63
Day Change %,0.0225
Day High,73.99
Day Low,72.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.83
Ex-dividend Date,No dividend
Historical Volatility,0.478
Last (size),70.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.82
Prev Close,72.29
Short Interest,0.0354
Today's Open,72.72
Volume,360008.0
Volume 10-day Avg,699566.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3141176470588235
Growth 1yr High Est,-0.14983351831298553
Growth 1yr Consensus Est,-0.2319755826859045
Growth 2yr Low Est,-0.1330451014024821
Growth 2yr High Est,-0.10429012730270687
Growth 2yr Consensus Est,-0.11866761435259449
Growth 5yr Low Est,0.08330648297670887
Growth 5yr High Est,0.09747158730195102
Growth 5yr Consensus Est,0.09038903513932994
Growth 5yr Actual/Est,0.08420576244371428
Growth 3yr Historic,0.15050505050505053
Price/Earnings (TTM),10.82099
Price/Sales (TTM),0.57233
Price/Book (MRQ),12.50392
Price/Cash Flow (TTM),4.11693
5yr Low,43.4
5yr High,136.48
5yr Avg Return,0.09983333333333334
EPS Growth 5yr,0.11925720000000001
Revenue Growth 5yr,0.0164707
Dividend Growth 5yr,
Short Int Current Month,3090234.0
Short Int Prev Month,3637016.0
Short Int Pct of Float,0.035369700000000004
Days to Cover,2.61134
Float,87.34091
Shares Outstanding,90.1
Institutions Holding Shares,675.0
FCF Growth 5yr,0.5665683530238865
"Price/Earnings (TTM, GAAP)",10.82
"PEG Ratio (TTM, GAAP)",1.29
Gross Profit Margin (TTM),0.297
Operating Profit Margin (TTM),0.1265
Net Profit Margin (TTM),0.07769999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5086999999999999
EPS Growth (TTM),-0.22010000000000002
Revenue Growth (MRQ),0.0075
Revenue Growth (TTM),0.0049
Return On Equity (TTM),0.8081999999999999
Return On Assets (TTM),0.052300000000000006
Return On Investment (TTM),0.0681
Revenue Per Employee (TTM),168652.0
Total Debt/Total Capital (MRQ),0.8142
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),3.33
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-29 00:00:00
cfra since,2021-06-29 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-02 00:00:00
