,DVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.82,29.13,Valuation,0.37143837967730864
Price/Sales (TTM),0.57,1.32,Valuation,0.43181818181818177
Price/Book (MRQ),12.5,4.31,Valuation,2.900232018561485
"PEG Ratio (TTM, GAAP)",1.29,0.26,Valuation,4.961538461538462
Gross Profit Margin (TTM),0.297,0.1318,Profitability,2.2534142640364188
Operating Profit Margin (TTM),0.1265,0.0458,Profitability,2.7620087336244543
Net Profit Margin (TTM),0.07769999999999999,0.0242,Profitability,3.2107438016528924
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.5086999999999999,-0.1478,Gowth rates,3.4418132611637344
EPS Growth (TTM),-0.22010000000000002,-1.101,Gowth rates,0.19990917347865578
Revenue Growth (MRQ),0.0075,0.0931,Gowth rates,0.08055853920515574
Revenue Growth (TTM),0.0049,0.1191,Gowth rates,0.04114189756507137
Return On Equity (TTM),0.8081999999999999,7.2022,Effectiveness,0.11221571186581876
Return On Assets (TTM),0.052300000000000006,0.0403,Effectiveness,1.2977667493796528
Return On Investment (TTM),0.0681,0.016,Effectiveness,4.25625
Revenue Per Employee (TTM),168652.0,1375304.0,Effectiveness,0.12262888786770053
Total Debt/Total Capital (MRQ),0.8142,0.4855,Financial strength,1.6770339855818746
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0015,Financial strength,0.39999999999999997
Quick Ratio (MRQ),1.22,0.31,Financial strength,3.935483870967742
Interest Coverage (MRQ),3.33,9.55,Financial strength,0.3486910994764398
