,HONE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.53,11.29,Valuation,1.2869796279893713
Price/Sales (TTM),3.44,3.28,Valuation,1.048780487804878
Price/Book (MRQ),1.18,1.42,Valuation,0.8309859154929577
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3128,0.3468,Profitability,0.9019607843137256
Net Profit Margin (TTM),0.231,0.2848,Profitability,0.8110955056179776
Annual Dividend Yield,0.0191,0.028999999999999998,Dividend,0.6586206896551724
Dividend Change %,,-0.0087,Dividend,
"Dividend Growth Rate, 3 Years",,0.0742,Dividend,
EPS Growth (MRQ),0.4107,-0.048,Gowth rates,-8.55625
EPS Growth (TTM),-0.16090000000000002,-0.10490000000000001,Gowth rates,1.5338417540514777
Revenue Growth (MRQ),0.11789999999999999,0.5294,Gowth rates,0.22270494899886664
Revenue Growth (TTM),0.0765,0.22469999999999998,Gowth rates,0.34045393858477974
Return On Equity (TTM),0.0753,0.1153,Effectiveness,0.6530789245446661
Return On Assets (TTM),0.0102,0.0101,Effectiveness,1.00990099009901
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0009,Financial strength,-0.888888888888889
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
