,HONE
% Below High,0.0562
% Held by Institutions,0.5444
52-Wk Range,['12.82 - 15.57']
Annual Dividend $,0.28
Annual Dividend %,0.0191
Ask,15.1
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.7
Bid,5.88
Bid Size,200.0
Closing Price,14.69
Day Change $,0.09
Day Change %,0.0062
Day High,14.75
Day Low,14.62
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",1.01
Ex-dividend,2022-10-11 00:00:00
Ex-dividend Date,10/11/22
Historical Volatility,0.249
Last (size),138.0
Last (time),1:00p ET 11/25/22
Market Cap,722.6M
"P/E Ratio (TTM, GAAP)",14.53
Prev Close,14.6
Short Interest,0.018799999999999997
Today's Open,14.69
Volume,22993.0
Volume 10-day Avg,109183.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.05504587155963303
Growth 1yr High Est,-0.04504504504504503
Growth 1yr Consensus Est,-0.05004545830233903
Growth 2yr Low Est,-0.051794780440010735
Growth 2yr High Est,-0.003654597994220632
Growth 2yr Consensus Est,-0.027724689217115683
Growth 5yr Low Est,-0.051794780440010735
Growth 5yr High Est,-0.003654597994220632
Growth 5yr Consensus Est,-0.027724689217115683
Growth 5yr Actual/Est,0.46385230489450646
Growth 3yr Historic,0.4881859756097561
Price/Earnings (TTM),14.52758
Price/Sales (TTM),3.43505
Price/Book (MRQ),1.18224
Price/Cash Flow (TTM),13.51373
5yr Low,6.45
5yr High,20.08
5yr Avg Return,-0.024483333333333347
EPS Growth 5yr,0.6166774
Revenue Growth 5yr,0.13993460000000002
Dividend Growth 5yr,
Short Int Current Month,813200.0
Short Int Prev Month,863091.0
Short Int Pct of Float,0.0188404
Days to Cover,5.63162
Float,43.14919
Shares Outstanding,49.1885
Institutions Holding Shares,171.0
FCF Growth 5yr,0.33404689092762485
"Price/Earnings (TTM, GAAP)",14.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3128
Net Profit Margin (TTM),0.231
Annual Dividend Yield,0.0191
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4107
EPS Growth (TTM),-0.16090000000000002
Revenue Growth (MRQ),0.11789999999999999
Revenue Growth (TTM),0.0765
Return On Equity (TTM),0.0753
Return On Assets (TTM),0.0102
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-30 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
