,INSE
% Below High,0.2525
% Held by Institutions,0.8297
52-Wk Range,['7.49 - 15.72']
Annual Dividend $,
Annual Dividend %,
Ask,15.75
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,1.6
Bid,8.64
Bid Size,500.0
Closing Price,11.75
Day Change $,-0.17
Day Change %,-0.0143
Day High,11.94
Day Low,11.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.568
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,303.9M
"P/E Ratio (TTM, GAAP)",19.25
Prev Close,11.92
Short Interest,0.013600000000000001
Today's Open,11.89
Volume,13385.0
Volume 10-day Avg,125864.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-10 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.3191489361702129
Growth 2yr Consensus Est,0.15957446808510645
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.3191489361702129
Growth 5yr Consensus Est,0.15957446808510645
Growth 5yr Actual/Est,-0.3363636363636363
Growth 3yr Historic,2.7755575615628914e-17
Price/Earnings (TTM),19.24936
Price/Sales (TTM),1.11008
Price/Book (MRQ),
Price/Cash Flow (TTM),5.28591
5yr Low,1.87
5yr High,15.82
5yr Avg Return,0.08723333333333334
Short Int Current Month,322796.0
Short Int Prev Month,441676.0
Short Int Pct of Float,0.0135605
Days to Cover,2.19894
Float,23.84698
Shares Outstanding,25.8672
Institutions Holding Shares,122.0
FCF Growth 5yr,-1.1086732711732712
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",19.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7652
Operating Profit Margin (TTM),0.16
Net Profit Margin (TTM),0.06570000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3797
EPS Growth (TTM),1.4706000000000001
Revenue Growth (MRQ),0.050499999999999996
Revenue Growth (TTM),0.2812
Return On Equity (TTM),
Return On Assets (TTM),0.0611
Return On Investment (TTM),0.0843
Revenue Per Employee (TTM),171125.0
Total Debt/Total Capital (MRQ),1.2425
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),2.63
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-12 00:00:00
researchTeam since,2022-08-12 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
