,DGII
% Below High,0.029500000000000002
% Held by Institutions,0.9125
52-Wk Range,['18.54 - 43.68']
Annual Dividend $,
Annual Dividend %,
Ask,43.87
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,40.5
Bid Size,100.0
Closing Price,42.39
Day Change $,0.23
Day Change %,0.0055000000000000005
Day High,42.91
Day Low,41.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.53
Ex-dividend Date,No dividend
Historical Volatility,0.43100000000000005
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",79.4
Prev Close,42.16
Short Interest,0.0499
Today's Open,42.03
Volume,98154.0
Volume 10-day Avg,399996.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.11538461538461542
Growth 1yr High Est,0.23636363636363655
Growth 1yr Consensus Est,0.17587412587412599
Growth 2yr Low Est,0.11229000884173301
Growth 2yr High Est,0.2627896613190731
Growth 2yr Consensus Est,0.18753983508040306
Growth 5yr Low Est,0.11229000884173301
Growth 5yr High Est,0.2627896613190731
Growth 5yr Consensus Est,0.18753983508040306
Growth 5yr Actual/Est,1.1992609351623202
Growth 3yr Historic,1.115495391705069
Price/Earnings (TTM),79.39987
Price/Sales (TTM),3.88237
Price/Book (MRQ),3.00382
Price/Cash Flow (TTM),26.46358
5yr Low,6.18
5yr High,43.68
5yr Avg Return,0.30611666666666665
EPS Growth 5yr,0.09187300000000001
Revenue Growth 5yr,0.1644423
Dividend Growth 5yr,
Short Int Current Month,1729035.0
Short Int Prev Month,1718065.0
Short Int Pct of Float,0.0498599
Days to Cover,4.14485
Float,34.70381
Shares Outstanding,35.55633
Institutions Holding Shares,255.0
FCF Growth 5yr,-0.4169934434550693
"Price/Earnings (TTM, GAAP)",79.4
"PEG Ratio (TTM, GAAP)",4.67
Gross Profit Margin (TTM),0.5571
Operating Profit Margin (TTM),0.0984
Net Profit Margin (TTM),0.0499
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.6447
EPS Growth (TTM),0.7818
Revenue Growth (MRQ),0.0215
Revenue Growth (TTM),0.2579
Return On Equity (TTM),0.0398
Return On Assets (TTM),0.0263
Return On Investment (TTM),0.0294
Revenue Per Employee (TTM),491424.0
Total Debt/Total Capital (MRQ),0.32180000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0075
Quick Ratio (MRQ),0.96
Interest Coverage (MRQ),3.44
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-02-05 00:00:00
