,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,10.5,14.7,18.99,19.94,25.63,43.68,,,,,
low,9.29,9.28,9.95,6.18,16.33,18.54,,,,,
change,-0.045,0.051,0.7737999999999999,0.0541,0.28940000000000005,0.7134,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,47.0,41.0,42.0,35.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,58.0,65.0,61.0,59.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-9.0,-9.0,-9.0,-9.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,49.0,57.0,52.0,50.0,Balance Sheet
Other Receivables,,,,,,,,11.0,10.0,,Balance Sheet
"Total Receivables, Net",,,,,,,49.0,67.0,62.0,50.0,Balance Sheet
Invent. - Finished Goods,,,,,,,20.0,23.0,31.0,33.0,Balance Sheet
Invent. - Work In Progress,,,,,,,,,,1.0,Balance Sheet
Invent. - Raw Materials,,,,,,,32.0,28.0,31.0,39.0,Balance Sheet
Total Inventory,,,,,,,52.0,52.0,62.0,73.0,Balance Sheet
Deferred Income Tax,,,,,,,15.0,15.0,15.0,10.0,Balance Sheet
Other Current Assets,,,,,,,8.0,7.0,5.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,8.0,7.0,5.0,8.0,Balance Sheet
Total Current Assets,,,,,,,157.0,168.0,170.0,166.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,43.0,43.0,41.0,43.0,Balance Sheet
"Goodwill, Net",,,,,,,342.0,342.0,342.0,340.0,Balance Sheet
Intangibles - Gross,,,,,,,436.0,436.0,436.0,436.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-113.0,-120.0,-127.0,-134.0,Balance Sheet
Intangibles - Net,,,,,,,323.0,316.0,309.0,302.0,Balance Sheet
Other Long Term Assets,,,,,,,1.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,,,,,866.0,870.0,864.0,854.0,Balance Sheet
