,DGII,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",79.4,26.06,Valuation,3.046815042210284
Price/Sales (TTM),3.88,5.09,Valuation,0.762278978388998
Price/Book (MRQ),3.0,4.51,Valuation,0.6651884700665189
"PEG Ratio (TTM, GAAP)",4.67,2.07,Valuation,2.2560386473429954
Gross Profit Margin (TTM),0.5571,0.5751,Profitability,0.9687010954616591
Operating Profit Margin (TTM),0.0984,0.2231,Profitability,0.4410578216046616
Net Profit Margin (TTM),0.0499,0.1819,Profitability,0.27432655305112696
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),1.6447,-0.16579999999999998,Gowth rates,-9.919782870928831
EPS Growth (TTM),0.7818,0.1262,Gowth rates,6.194928684627575
Revenue Growth (MRQ),0.0215,0.1365,Gowth rates,0.15750915750915748
Revenue Growth (TTM),0.2579,0.0862,Gowth rates,2.991879350348028
Return On Equity (TTM),0.0398,0.195,Effectiveness,0.2041025641025641
Return On Assets (TTM),0.0263,0.1241,Effectiveness,0.2119258662369057
Return On Investment (TTM),0.0294,0.1684,Effectiveness,0.17458432304038005
Revenue Per Employee (TTM),491424.0,688581.0,Effectiveness,0.713676386656036
Total Debt/Total Capital (MRQ),0.32180000000000003,0.36450000000000005,Financial strength,0.8828532235939643
Change in Debt/Total Capital Quarter over Quarter,-0.0075,0.0002,Financial strength,-37.5
Quick Ratio (MRQ),0.96,1.51,Financial strength,0.6357615894039735
Interest Coverage (MRQ),3.44,1.83,Financial strength,1.8797814207650272
