,EQBK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.79,11.43,Valuation,0.9440069991251093
Price/Sales (TTM),3.01,3.3,Valuation,0.9121212121212121
Price/Book (MRQ),1.49,1.46,Valuation,1.0205479452054795
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.336,0.34240000000000004,Profitability,0.9813084112149533
Net Profit Margin (TTM),0.2902,0.2812,Profitability,1.0320056899004268
Annual Dividend Yield,0.010900000000000002,0.028700000000000003,Dividend,0.3797909407665505
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),-0.0033000000000000004,-0.0335,Gowth rates,0.09850746268656717
EPS Growth (TTM),-0.081,-0.09960000000000001,Gowth rates,0.8132530120481928
Revenue Growth (MRQ),0.1129,0.5429,Gowth rates,0.20795726653158958
Revenue Growth (TTM),0.1217,0.2466,Gowth rates,0.4935117599351176
Return On Equity (TTM),0.139,0.1135,Effectiveness,1.224669603524229
Return On Assets (TTM),0.0122,0.0099,Effectiveness,1.2323232323232323
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0009,Financial strength,-0.4444444444444445
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
