,EQBK
% Below High,0.0342
% Held by Institutions,0.6304
52-Wk Range,['28.06 - 38.04']
Annual Dividend $,0.4
Annual Dividend %,0.0109
Ask,41.93
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.8
Bid,15.09
Bid Size,200.0
Closing Price,36.74
Day Change $,0.14
Day Change %,0.0038
Day High,36.74
Day Low,36.24
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",3.41
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.27899999999999997
Last (size),7.0
Last (time),12:58p ET 11/25/22
Market Cap,585.1M
"P/E Ratio (TTM, GAAP)",10.79
Prev Close,36.6
Short Interest,0.0167
Today's Open,36.53
Volume,27380.0
Volume 10-day Avg,51406.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1172839506172838
Growth 1yr High Est,0.03361344537815136
Growth 1yr Consensus Est,0.07544869799771758
Growth 2yr Low Est,0.021349157629083904
Growth 2yr High Est,0.058812142743276286
Growth 2yr Consensus Est,0.040080650186180095
Growth 5yr Low Est,0.2799053480453112
Growth 5yr High Est,0.3407268260886192
Growth 5yr Consensus Est,0.31031608706696523
Growth 5yr Actual/Est,-1.4159295228712596
Growth 3yr Historic,-1.429909713773452
Price/Earnings (TTM),10.78922
Price/Sales (TTM),3.00535
Price/Book (MRQ),1.48683
Price/Cash Flow (TTM),8.95003
5yr Low,12.49
5yr High,44.3
5yr Avg Return,0.042866666666666664
EPS Growth 5yr,0.2621324
Revenue Growth 5yr,0.20555489999999998
Dividend Growth 5yr,
Short Int Current Month,232782.0
Short Int Prev Month,200456.0
Short Int Pct of Float,0.0166591
Days to Cover,4.36723
Float,13.99751
Shares Outstanding,15.93807
Institutions Holding Shares,135.0
FCF Growth 5yr,1.3559348778082445
"Price/Earnings (TTM, GAAP)",10.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.336
Net Profit Margin (TTM),0.2902
Annual Dividend Yield,0.010900000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0033000000000000004
EPS Growth (TTM),-0.081
Revenue Growth (MRQ),0.1129
Revenue Growth (TTM),0.1217
Return On Equity (TTM),0.139
Return On Assets (TTM),0.0122
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-10-20 00:00:00
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
