,ADSK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",70.77,54.08,Valuation,1.3086168639053255
Price/Sales (TTM),8.84,9.39,Valuation,0.9414270500532481
Price/Book (MRQ),47.81,12.63,Valuation,3.785431512272367
"PEG Ratio (TTM, GAAP)",3.44,1.92,Valuation,1.7916666666666667
Gross Profit Margin (TTM),0.9042,0.7206,Profitability,1.2547876769358868
Operating Profit Margin (TTM),0.17440000000000003,0.2172,Profitability,0.8029465930018417
Net Profit Margin (TTM),0.1264,0.1553,Profitability,0.8139085640695429
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0694,-0.0752,Gowth rates,-0.9228723404255319
EPS Growth (TTM),-0.5225,-0.2824,Gowth rates,1.850212464589235
Revenue Growth (MRQ),0.0348,0.15560000000000002,Gowth rates,0.22365038560411307
Revenue Growth (TTM),0.1625,0.1906,Gowth rates,0.8525708289611753
Return On Equity (TTM),0.5664,0.2189,Effectiveness,2.587482868889904
Return On Assets (TTM),0.0721,0.10740000000000001,Effectiveness,0.6713221601489757
Return On Investment (TTM),0.1229,0.1387,Effectiveness,0.886085075702956
Revenue Per Employee (TTM),388778.0,667721.0,Effectiveness,0.5822461776700149
Total Debt/Total Capital (MRQ),0.7438,0.39659999999999995,Financial strength,1.8754412506303584
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0004,Financial strength,-0.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),19.21,0.28,Financial strength,68.60714285714285
