,ADSK
% Above Low,0.2295
% Held by Institutions,0.9257
52-Wk Range,['163.20 - 285.38']
Annual Dividend $,
Annual Dividend %,
Ask,200.59
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,200.02
Bid Size,100.0
Closing Price,200.66
Day Change $,3.59
Day Change %,0.0182
Day High,200.96
Day Low,196.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.84
Ex-dividend Date,No dividend
Historical Volatility,0.473
Last (size),32.0
Last (time),12:59p ET 11/25/22
Market Cap,43.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",70.77
Prev Close,197.07
Short Interest,0.0108
Today's Open,196.79
Volume,1318187.0
Volume 10-day Avg,2249200.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.3172690763052206
Growth 1yr High Est,0.3040935672514622
Growth 1yr Consensus Est,0.3106813217783414
Growth 2yr Low Est,0.1380552698599274
Growth 2yr High Est,0.24920672383499864
Growth 2yr Consensus Est,0.19363099684746302
Growth 5yr Low Est,0.2456040347206492
Growth 5yr High Est,0.30085406783465374
Growth 5yr Consensus Est,0.27322905127765146
Growth 5yr Actual/Est,0.2797190666607539
Growth 3yr Historic,0.17586618876941457
Price/Earnings (TTM),70.7718
Price/Sales (TTM),8.84217
Price/Book (MRQ),47.80825
Price/Cash Flow (TTM),56.52392
5yr Low,101.55
5yr High,344.39
5yr Avg Return,0.13045
EPS Growth 5yr,
Revenue Growth 5yr,0.1664864
Dividend Growth 5yr,
Short Int Current Month,2327823.0
Short Int Prev Month,2752550.0
Short Int Pct of Float,0.010821099999999998
Days to Cover,1.30103
Float,215.0852
Shares Outstanding,215.8591
Institutions Holding Shares,1499.0
FCF Growth 5yr,0.1879837399682093
"Price/Earnings (TTM, GAAP)",70.77
"PEG Ratio (TTM, GAAP)",3.44
Gross Profit Margin (TTM),0.9042
Operating Profit Margin (TTM),0.17440000000000003
Net Profit Margin (TTM),0.1264
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0694
EPS Growth (TTM),-0.5225
Revenue Growth (MRQ),0.0348
Revenue Growth (TTM),0.1625
Return On Equity (TTM),0.5664
Return On Assets (TTM),0.0721
Return On Investment (TTM),0.1229
Revenue Per Employee (TTM),388778.0
Total Debt/Total Capital (MRQ),0.7438
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.21
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-05 00:00:00
cfra since,2021-08-27 00:00:00
ford since,2020-10-02 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-03-09 00:00:00
