,USER,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.78,9.39,Valuation,0.6155484558040468
Price/Book (MRQ),8.35,12.63,Valuation,0.6611243072050672
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7766,0.7206,Profitability,1.0777130169303357
Operating Profit Margin (TTM),-0.3521,0.2172,Profitability,-1.6210865561694292
Net Profit Margin (TTM),-0.3563,0.1553,Profitability,-2.294269156471346
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1935,-0.0752,Gowth rates,-2.5731382978723403
EPS Growth (TTM),-0.5611,-0.2824,Gowth rates,1.9868980169971675
Revenue Growth (MRQ),0.0388,0.15560000000000002,Gowth rates,0.2493573264781491
Revenue Growth (TTM),0.37979999999999997,0.1906,Gowth rates,1.992654774396642
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.3216,0.10740000000000001,Effectiveness,-2.9944134078212286
Return On Investment (TTM),-0.7055,0.1387,Effectiveness,-5.086517664023072
Revenue Per Employee (TTM),,667721.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.39659999999999995,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
