,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,15.98,11.99,,,,,
low,7.6,3.31,,,,,
change,-0.4479,-0.1241,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,178430.0,163018.0,164435.0,164618.0,Balance Sheet
"Total Receivables, Net",,,47973.0,46167.0,42654.0,34058.0,Balance Sheet
Prepaid Expenses,,,6045.0,11202.0,9559.0,8512.0,Balance Sheet
"Other Curr. Assets, Total",,,8116.0,8380.0,8509.0,8621.0,Balance Sheet
Total Current Assets,,,240564.0,228767.0,225157.0,215809.0,Balance Sheet
Buildings,,,1822.0,1971.0,2092.0,,Balance Sheet
Machinery/Equipment,,,2632.0,2668.0,2903.0,,Balance Sheet
Other Prop./Plant/Equip.,,,16758.0,15492.0,14171.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,21212.0,20131.0,19166.0,,Balance Sheet
Accumulated Depreciation,,,-1554.0,-1847.0,-2144.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,19658.0,18284.0,17022.0,15768.0,Balance Sheet
"Goodwill, Net",,,8785.0,8785.0,8785.0,8785.0,Balance Sheet
Intangibles - Gross,,,3038.0,3038.0,,,Balance Sheet
Accum. Intangible Amort.,,,-2398.0,-2462.0,,,Balance Sheet
Intangibles - Net,,,640.0,576.0,513.0,449.0,Balance Sheet
Other Long Term Assets,,,13481.0,13885.0,13265.0,13064.0,Balance Sheet
Total Assets,,,283128.0,270297.0,264742.0,253875.0,Balance Sheet
Accounts Payable,,,1544.0,2154.0,1392.0,1524.0,Balance Sheet
Accrued Expenses,,,21288.0,14926.0,14301.0,17755.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,,Balance Sheet
Customer Advances,,,90952.0,94720.0,99793.0,96831.0,Balance Sheet
Other Current Liabilities,,,5782.0,3675.0,3277.0,,Balance Sheet
"Other Curr. Lblts, Total",,,96734.0,98395.0,103070.0,96831.0,Balance Sheet
