,MC
% Above Low,0.29
% Held by Institutions,0.9609000000000001
52-Wk Range,['33.12 - 64.56']
Annual Dividend $,2.4
Annual Dividend %,0.0562
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,30.74
Bid Size,
Closing Price,42.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.26
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.42100000000000004
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",13.1
Prev Close,42.72
Short Interest,0.0527
Today's Open,
Volume,253727.0
Volume 10-day Avg,591356.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5599250936329587
Growth 1yr High Est,-0.5543859649122806
Growth 1yr Consensus Est,-0.5571555292726197
Growth 2yr Low Est,-0.3395370149015858
Growth 2yr High Est,-0.18664180135377817
Growth 2yr Consensus Est,-0.263089408127682
Growth 5yr Low Est,-0.3395370149015858
Growth 5yr High Est,-0.18664180135377817
Growth 5yr Consensus Est,-0.263089408127682
Growth 5yr Actual/Est,0.1949148433994334
Growth 3yr Historic,0.33509099516095103
Price/Earnings (TTM),13.09754
Price/Sales (TTM),2.43586
Price/Book (MRQ),6.80983
Price/Cash Flow (TTM),10.95449
5yr Low,22.11
5yr High,77.49
5yr Avg Return,0.02215
EPS Growth 5yr,0.275061
Revenue Growth 5yr,0.20224689999999998
Dividend Growth 5yr,0.0651369
Short Int Current Month,3331146.0
Short Int Prev Month,2750652.0
Short Int Pct of Float,0.0527488
Days to Cover,4.1905
Float,63.15446
Shares Outstanding,68.6017
Institutions Holding Shares,322.0
FCF Growth 5yr,-0.6917589239658216
"Price/Earnings (TTM, GAAP)",13.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2824
Net Profit Margin (TTM),0.2157
Annual Dividend Yield,0.0562
Dividend Change %,0.2121
"Dividend Growth Rate, 3 Years",-0.033
EPS Growth (MRQ),-0.3428
EPS Growth (TTM),-0.44530000000000003
Revenue Growth (MRQ),-0.037200000000000004
Revenue Growth (TTM),-0.2175
Return On Equity (TTM),0.4843
Return On Assets (TTM),0.2013
Return On Investment (TTM),0.3306
Revenue Per Employee (TTM),1215284.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),33.22
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-01-14 00:00:00
theStreet since,2020-12-06 00:00:00
ford since,2022-01-14 00:00:00
cfra since,
marketEdge opinion since,
