,ROCK
% Above Low,0.3641
% Held by Institutions,1.034
52-Wk Range,['36.58 - 74.11']
Annual Dividend $,
Annual Dividend %,
Ask,49.93
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,49.87
Bid Size,200.0
Day Change $,-0.65
Day Change %,-0.0129
Day High,50.57
Day Low,49.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.74
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),100.0
Last (time),1:07p ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.45
Prev Close,50.55
Price,49.9
Short Interest,0.0181
Today's Open,50.19
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3400000000000001
Growth 1yr High Est,0.3333333333333335
Growth 1yr Consensus Est,0.3366666666666668
Growth 2yr Low Est,0.19388059701492533
Growth 2yr High Est,0.2181372549019609
Growth 2yr Consensus Est,0.2060089259584431
Growth 5yr Low Est,0.09694029850746266
Growth 5yr High Est,0.10906862745098045
Growth 5yr Consensus Est,0.10300446297922156
Growth 5yr Actual/Est,0.08298763264958048
Growth 3yr Historic,0.012125924390075316
Price/Earnings (TTM),18.45476
Price/Sales (TTM),1.10991
Price/Book (MRQ),1.88802
Price/Cash Flow (TTM),13.49047
5yr Low,29.5
5yr High,103.02
5yr Avg Return,0.09866666666666667
EPS Growth 5yr,0.1647891
Revenue Growth 5yr,0.0585623
Dividend Growth 5yr,
Short Int Current Month,556183.0
Short Int Prev Month,634072.0
Short Int Pct of Float,0.0180713
Days to Cover,3.1597
Float,30.77953
Shares Outstanding,30.97097
Institutions Holding Shares,268.0
FCF Growth 5yr,-2.170489027031826
"Price/Earnings (TTM, GAAP)",18.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2254
Operating Profit Margin (TTM),0.0876
Net Profit Margin (TTM),0.063
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.20140000000000002
EPS Growth (TTM),0.2079
Revenue Growth (MRQ),0.0663
Revenue Growth (TTM),0.2025
Return On Equity (TTM),0.1072
Return On Assets (TTM),0.0695
Return On Investment (TTM),0.08900000000000001
Revenue Per Employee (TTM),701419.0
Total Debt/Total Capital (MRQ),0.1262
Change in Debt/Total Capital Quarter over Quarter,0.009000000000000001
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),45.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
