,RMAX
% Above Low,0.1585
% Held by Institutions,0.9469
52-Wk Range,['17.03 - 31.91']
Annual Dividend $,0.92
Annual Dividend %,0.04650000000000001
Ask,19.76
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,19.67
Bid Size,300.0
Day Change $,-0.04
Day Change %,-0.002
Day High,19.93
Day Low,19.54
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",0.55
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.369
Last (size),100.0
Last (time),12:56p ET 11/28/22
Market Cap,360.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",35.78
Prev Close,19.77
Price,19.73
Short Interest,0.028999999999999998
Today's Open,19.54
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.07391304347826089
Growth 1yr High Est,-0.06666666666666654
Growth 1yr Consensus Est,-0.07028985507246371
Growth 2yr Low Est,-0.13554807103490507
Growth 2yr High Est,-0.031101190476190477
Growth 2yr Consensus Est,-0.08332463075554777
Growth 5yr Low Est,-0.039027265491612756
Growth 5yr High Est,0.01531005264382923
Growth 5yr Consensus Est,-0.011858606423891763
Growth 5yr Actual/Est,-0.008464641721466826
Growth 3yr Historic,0.03677466150870404
Price/Earnings (TTM),35.77633
Price/Sales (TTM),0.99842
Price/Book (MRQ),0.73714
Price/Cash Flow (TTM),6.69448
5yr Low,14.4
5yr High,61.27
5yr Avg Return,-0.12533333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.1342228
Dividend Growth 5yr,0.08924939999999999
Short Int Current Month,507480.0
Short Int Prev Month,568737.0
Short Int Pct of Float,0.0289832
Days to Cover,2.63922
Float,17.57064
Shares Outstanding,18.24542
Institutions Holding Shares,186.0
FCF Growth 5yr,0.554969351960854
"Price/Earnings (TTM, GAAP)",35.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1112
Net Profit Margin (TTM),0.0496
Annual Dividend Yield,0.04650000000000001
Dividend Change %,0.0455
"Dividend Growth Rate, 3 Years",0.0477
EPS Growth (MRQ),-0.9756
EPS Growth (TTM),1.5925
Revenue Growth (MRQ),-0.035
Revenue Growth (TTM),0.1543
Return On Equity (TTM),0.0211
Return On Assets (TTM),0.023799999999999998
Return On Investment (TTM),0.0169
Revenue Per Employee (TTM),565387.0
Total Debt/Total Capital (MRQ),0.9059
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.91
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-23 00:00:00
theStreet since,2019-05-29 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
