,DD
% Below High,0.16329999999999997
% Held by Institutions,0.7243
52-Wk Range,['49.52 - 85.16']
Annual Dividend $,1.32
Annual Dividend %,0.018500000000000003
Ask,75.5
Ask Size,300.0
B/A Ratio,11.666666666666666
B/A Size,3500x300
Beta,1.5
Bid,67.0
Bid Size,3500.0
Closing Price,71.25
Day Change $,-0.56
Day Change %,-0.0078000000000000005
Day High,72.12
Day Low,71.08
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.334
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,35.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.13
Prev Close,71.81
Short Interest,0.041100000000000005
Today's Open,71.47
Volume,1051073.0
Volume 10-day Avg,3002876.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.21822541966426867
Growth 1yr High Est,-0.21779859484777508
Growth 1yr Consensus Est,-0.21801200725602188
Growth 2yr Low Est,-0.08150534786894409
Growth 2yr High Est,0.016849205570124426
Growth 2yr Consensus Est,-0.03232807114940983
Growth 5yr Low Est,-0.012752673934472075
Growth 5yr High Est,0.03355346876444362
Growth 5yr Consensus Est,0.010400397414985774
Growth 5yr Actual/Est,0.1135368611450365
Growth 3yr Historic,0.1318200762086211
Price/Earnings (TTM),31.13162
Price/Sales (TTM),2.4955
Price/Book (MRQ),1.42088
Price/Cash Flow (TTM),14.20394
5yr Low,28.33
5yr High,231.24
5yr Avg Return,-0.12140000000000001
EPS Growth 5yr,-0.2120723
Revenue Growth 5yr,-0.1913421
Dividend Growth 5yr,-0.2630339
Short Int Current Month,20365969.0
Short Int Prev Month,6420847.0
Short Int Pct of Float,0.0410586
Days to Cover,3.85526
Float,496.0847
Shares Outstanding,496.7889
Institutions Holding Shares,1490.0
FCF Growth 5yr,-0.8592782916523923
"Price/Earnings (TTM, GAAP)",31.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3505
Operating Profit Margin (TTM),0.1408
Net Profit Margin (TTM),0.0862
Annual Dividend Yield,0.018500000000000003
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.3592
EPS Growth (MRQ),-0.008100000000000001
EPS Growth (TTM),-0.056100000000000004
Revenue Growth (MRQ),-0.0015
Revenue Growth (TTM),0.0852
Return On Equity (TTM),0.0451
Return On Assets (TTM),0.0271
Return On Investment (TTM),0.0311
Revenue Per Employee (TTM),506571.0
Total Debt/Total Capital (MRQ),0.3173
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),1.99
Interest Coverage (MRQ),5.82
researchTeam,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-04-23 00:00:00
cfra since,2022-08-02 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-04 00:00:00
theStreet since,
