,AFG
Price/Earnings (TTM),12.50816
Price/Sales (TTM),1.77836
Price/Book (MRQ),3.10659
Price/Cash Flow (TTM),11.28978
5yr Low,44.01
5yr High,152.29
5yr Avg Return,0.08385
EPS Growth 5yr,0.1148338
Revenue Growth 5yr,-0.0019436999999999998
Dividend Growth 5yr,0.12316940000000001
Short Int Current Month,796150.0
Short Int Prev Month,753453.0
Short Int Pct of Float,0.011951400000000001
Days to Cover,1.76652
Float,66.6159
Shares Outstanding,85.1435
Institutions Holding Shares,620.0
% Held by Institutions,0.630753
FCF Growth 5yr,0.12331428854622432
