,AFG
% Below High,0.0579
% Held by Institutions,0.6308
52-Wk Range,['119.01 - 152.29']
Annual Dividend $,2.52
Annual Dividend %,0.0176
Ask,150.99
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.8
Bid,127.99
Bid Size,500.0
Closing Price,143.47
Day Change $,1.01
Day Change %,0.0070999999999999995
Day High,144.62
Day Low,142.61
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",11.47
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.27899999999999997
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,12.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.51
Prev Close,142.46
Short Interest,0.012
Today's Open,143.24
Volume,242372.0
Volume 10-day Avg,417692.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.3294117647058825
Growth 1yr High Est,0.33908045977011514
Growth 1yr Consensus Est,0.3342461122379988
Growth 2yr Low Est,0.16249349297241023
Growth 2yr High Est,0.2060209165803365
Growth 2yr Consensus Est,0.18425720477637336
Growth 5yr Low Est,0.08124674648620511
Growth 5yr High Est,0.10301045829016825
Growth 5yr Consensus Est,0.09212860238818668
Growth 5yr Actual/Est,0.09503042595800157
Growth 3yr Historic,0.08808526957038085
Price/Earnings (TTM),12.50816
Price/Sales (TTM),1.77836
Price/Book (MRQ),3.10659
Price/Cash Flow (TTM),11.28978
5yr Low,44.01
5yr High,152.29
5yr Avg Return,0.08385
EPS Growth 5yr,0.1148338
Revenue Growth 5yr,-0.0019436999999999998
Dividend Growth 5yr,0.12316940000000001
Short Int Current Month,796150.0
Short Int Prev Month,753453.0
Short Int Pct of Float,0.011951400000000001
Days to Cover,1.76652
Float,66.6159
Shares Outstanding,85.1435
Institutions Holding Shares,620.0
FCF Growth 5yr,0.12331428854622432
"Price/Earnings (TTM, GAAP)",12.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1907
Net Profit Margin (TTM),0.14220000000000002
Annual Dividend Yield,0.0176
Dividend Change %,0.1135
"Dividend Growth Rate, 3 Years",0.1242
EPS Growth (MRQ),-0.0131
EPS Growth (TTM),-0.0026000000000000003
Revenue Growth (MRQ),0.2896
Revenue Growth (TTM),0.063
Return On Equity (TTM),0.21300000000000002
Return On Assets (TTM),0.0329
Return On Investment (TTM),
Revenue Per Employee (TTM),1040758.0
Total Debt/Total Capital (MRQ),0.2805
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.16
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
cfra since,2022-05-06 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-02-08 00:00:00
