,SHEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,108.35,Valuation,
Price/Sales (TTM),3.83,2.36,Valuation,1.6228813559322035
Price/Book (MRQ),1.55,2.78,Valuation,0.5575539568345325
"PEG Ratio (TTM, GAAP)",,2.14,Valuation,
Gross Profit Margin (TTM),0.5775,0.5866,Profitability,0.9844868735083532
Operating Profit Margin (TTM),-0.053700000000000005,0.0609,Profitability,-0.8817733990147784
Net Profit Margin (TTM),-0.0395,0.0244,Profitability,-1.6188524590163933
Annual Dividend Yield,0.004,0.0005,Dividend,8.0
Dividend Change %,-0.7941,-0.0039000000000000003,Dividend,203.6153846153846
"Dividend Growth Rate, 3 Years",-0.3624,-0.0017000000000000001,Dividend,213.17647058823528
EPS Growth (MRQ),0.15460000000000002,-0.2884,Gowth rates,-0.5360610263522886
EPS Growth (TTM),-1.8092,-0.5058,Gowth rates,3.576907868722815
Revenue Growth (MRQ),0.013700000000000002,-0.0034999999999999996,Gowth rates,-3.9142857142857155
Revenue Growth (TTM),0.0797,0.0196,Gowth rates,4.066326530612245
Return On Equity (TTM),-0.0159,0.018500000000000003,Effectiveness,-0.8594594594594593
Return On Assets (TTM),-0.009300000000000001,0.010700000000000001,Effectiveness,-0.8691588785046729
Return On Investment (TTM),-0.0124,0.0102,Effectiveness,-1.2156862745098038
Revenue Per Employee (TTM),302283.0,1057646.0,Effectiveness,0.28580734952904846
Total Debt/Total Capital (MRQ),0.0396,0.5368,Financial strength,0.07377049180327869
Change in Debt/Total Capital Quarter over Quarter,0.2256,0.0009,Financial strength,250.66666666666666
Quick Ratio (MRQ),,0.76,Financial strength,
Interest Coverage (MRQ),,4.25,Financial strength,
