,SHEN
% Above Low,0.20829999999999999
% Held by Institutions,0.5518
52-Wk Range,['15.63 - 26.96']
Annual Dividend $,0.08
Annual Dividend %,0.004
Ask,18.91
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,18.85
Bid Size,100.0
Day Change $,-1.01
Day Change %,-0.050499999999999996
Day High,19.88
Day Low,18.87
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",-0.2
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.47700000000000004
Last (size),100.0
Last (time),2:10p ET 11/28/22
Market Cap,946.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.89
Price,18.89
Short Interest,0.0231
Today's Open,19.88
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-1.1238938053097345
Growth 1yr High Est,-1.1206896551724137
Growth 1yr Consensus Est,-1.122291730241074
Growth 2yr Low Est,-0.6690897597977243
Growth 2yr High Est,-0.8103448275862069
Growth 2yr Consensus Est,-0.7397172936919656
Growth 5yr Low Est,-0.33454487989886217
Growth 5yr High Est,-0.4051724137931034
Growth 5yr Consensus Est,-0.3698586468459828
Growth 5yr Actual/Est,-0.46722543760587243
Growth 3yr Historic,0.09081027667984184
Price/Earnings (TTM),
Price/Sales (TTM),3.83307
Price/Book (MRQ),1.55087
Price/Cash Flow (TTM),19.22582
5yr Low,15.63
5yr High,61.53
5yr Avg Return,-0.08398333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.14453860000000002
Dividend Growth 5yr,-0.2247682
Short Int Current Month,1108931.0
Short Int Prev Month,1150517.0
Short Int Pct of Float,0.023137699999999997
Days to Cover,6.13951
Float,48.02323
Shares Outstanding,50.0983
Institutions Holding Shares,195.0
FCF Growth 5yr,0.08655312246553126
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5775
Operating Profit Margin (TTM),-0.053700000000000005
Net Profit Margin (TTM),-0.0395
Annual Dividend Yield,0.004
Dividend Change %,-0.7941
"Dividend Growth Rate, 3 Years",-0.3624
EPS Growth (MRQ),0.15460000000000002
EPS Growth (TTM),-1.8092
Revenue Growth (MRQ),0.013700000000000002
Revenue Growth (TTM),0.0797
Return On Equity (TTM),-0.0159
Return On Assets (TTM),-0.009300000000000001
Return On Investment (TTM),-0.0124
Revenue Per Employee (TTM),302283.0
Total Debt/Total Capital (MRQ),0.0396
Change in Debt/Total Capital Quarter over Quarter,0.2256
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2021-08-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
