,UTL
Price/Earnings (TTM),20.38261
Price/Sales (TTM),1.56179
Price/Book (MRQ),1.84454
Price/Cash Flow (TTM),8.18693
5yr Low,32.8
5yr High,65.76
5yr Avg Return,0.020216666666666664
EPS Growth 5yr,0.038973
Revenue Growth 5yr,0.0430302
Dividend Growth 5yr,0.013703700000000001
Short Int Current Month,191429.0
Short Int Prev Month,212428.0
Short Int Pct of Float,0.0121479
Days to Cover,2.97144
Float,15.7635
Shares Outstanding,16.03546
Institutions Holding Shares,251.0
% Held by Institutions,0.754762
FCF Growth 5yr,-1.0063610892837795
