,UTL
% Below High,0.1477
% Held by Institutions,0.7548
52-Wk Range,['40.75 - 61.10']
Annual Dividend $,1.56
Annual Dividend %,0.0296
Ask,56.51
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,20.83
Bid Size,100.0
Closing Price,52.08
Day Change $,-0.66
Day Change %,-0.0125
Day High,52.94
Day Low,51.99
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",2.59
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.32299999999999995
Last (size),123.0
Last (time),7:00p ET 11/28/22
Market Cap,835.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.38
Prev Close,52.74
Short Interest,0.0121
Today's Open,52.85
Volume,38965.0
Volume 10-day Avg,61568.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.08154506437768227
Growth 1yr High Est,0.06451612903225823
Growth 1yr Consensus Est,0.07303059670497025
Growth 2yr Low Est,0.07450269091899986
Growth 2yr High Est,0.058773216031280606
Growth 2yr Consensus Est,0.06663795347514023
Growth 5yr Low Est,0.09705408152769923
Growth 5yr High Est,0.10138310095865277
Growth 5yr Consensus Est,0.099218591243176
Growth 5yr Actual/Est,-0.007733778490829402
Growth 3yr Historic,-0.04576775507008063
Price/Earnings (TTM),20.38261
Price/Sales (TTM),1.56179
Price/Book (MRQ),1.84454
Price/Cash Flow (TTM),8.18693
5yr Low,32.8
5yr High,65.76
5yr Avg Return,0.020216666666666664
EPS Growth 5yr,0.038973
Revenue Growth 5yr,0.0430302
Dividend Growth 5yr,0.013703700000000001
Short Int Current Month,191429.0
Short Int Prev Month,212428.0
Short Int Pct of Float,0.0121479
Days to Cover,2.97144
Float,15.7635
Shares Outstanding,16.03546
Institutions Holding Shares,251.0
FCF Growth 5yr,-1.0063610892837795
"Price/Earnings (TTM, GAAP)",20.38
"PEG Ratio (TTM, GAAP)",2.87
Gross Profit Margin (TTM),0.3123
Operating Profit Margin (TTM),0.1501
Net Profit Margin (TTM),0.0765
Annual Dividend Yield,0.0296
Dividend Change %,0.013300000000000001
"Dividend Growth Rate, 3 Years",0.013500000000000002
EPS Growth (MRQ),-0.898
EPS Growth (TTM),0.111
Revenue Growth (MRQ),0.1143
Revenue Growth (TTM),0.2023
Return On Equity (TTM),0.0922
Return On Assets (TTM),0.0268
Return On Investment (TTM),0.029900000000000003
Revenue Per Employee (TTM),1065945.0
Total Debt/Total Capital (MRQ),0.5556
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),1.09
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-02-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
