,PB
% Below High,0.0664
% Held by Institutions,0.8488
52-Wk Range,['64.69 - 80.46']
Annual Dividend $,2.2
Annual Dividend %,0.028900000000000002
Ask,75.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,75.14
Bid Size,100.0
Day Change $,-1.08
Day Change %,-0.014199999999999999
Day High,75.72
Day Low,74.88
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",5.59
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.25
Last (size),100.0
Last (time),10:09a ET 11/28/22
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.63
Prev Close,76.2
Price,75.12
Short Interest,0.0217
Today's Open,75.72
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.016216216216216273
Growth 1yr High Est,0.03197158081705154
Growth 1yr Consensus Est,0.024093898516633905
Growth 2yr Low Est,0.012540732221583362
Growth 2yr High Est,0.08397202104535884
Growth 2yr Consensus Est,0.0482563766334711
Growth 5yr Low Est,0.011390791178025253
Growth 5yr High Est,0.0536297894564591
Growth 5yr Consensus Est,0.032510290317242174
Growth 5yr Actual/Est,0.05727621676492051
Growth 3yr Historic,0.028785036261305408
Price/Earnings (TTM),13.62598
Price/Sales (TTM),6.11928
Price/Book (MRQ),1.05121
Price/Cash Flow (TTM),12.83483
5yr Low,42.02
5yr High,83.02
5yr Avg Return,0.016716666666666668
EPS Growth 5yr,0.0730784
Revenue Growth 5yr,0.09149570000000001
Dividend Growth 5yr,0.1064566
Short Int Current Month,1894139.0
Short Int Prev Month,2271572.0
Short Int Pct of Float,0.0216819
Days to Cover,5.22124
Float,87.36798
Shares Outstanding,91.30855
Institutions Holding Shares,413.0
FCF Growth 5yr,0.1038859719791464
"Price/Earnings (TTM, GAAP)",13.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5739
Net Profit Margin (TTM),0.4516
Annual Dividend Yield,0.028900000000000002
Dividend Change %,0.06420000000000001
"Dividend Growth Rate, 3 Years",0.1139
EPS Growth (MRQ),0.0636
EPS Growth (TTM),-0.0206
Revenue Growth (MRQ),0.0844
Revenue Growth (TTM),-0.029900000000000003
Return On Equity (TTM),0.0792
Return On Assets (TTM),0.0138
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.025400000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-05-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
