,PB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.63,11.43,Valuation,1.1924759405074368
Price/Sales (TTM),6.12,3.3,Valuation,1.8545454545454547
Price/Book (MRQ),1.05,1.46,Valuation,0.7191780821917809
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.5739,0.34240000000000004,Profitability,1.6761098130841119
Net Profit Margin (TTM),0.4516,0.2812,Profitability,1.6059743954480796
Annual Dividend Yield,0.028900000000000002,0.028700000000000003,Dividend,1.0069686411149825
Dividend Change %,0.06420000000000001,-0.0086,Dividend,-7.465116279069768
"Dividend Growth Rate, 3 Years",0.1139,0.0734,Dividend,1.5517711171662123
EPS Growth (MRQ),0.0636,-0.0335,Gowth rates,-1.8985074626865672
EPS Growth (TTM),-0.0206,-0.09960000000000001,Gowth rates,0.20682730923694778
Revenue Growth (MRQ),0.0844,0.5429,Gowth rates,0.15546141094124147
Revenue Growth (TTM),-0.029900000000000003,0.2466,Gowth rates,-0.12124898621248986
Return On Equity (TTM),0.0792,0.1135,Effectiveness,0.6977973568281939
Return On Assets (TTM),0.0138,0.0099,Effectiveness,1.3939393939393938
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.025400000000000002,0.0009,Financial strength,28.222222222222225
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
