,ASPN
% Above Low,0.6720999999999999
% Held by Institutions,0.9024
52-Wk Range,['7.93 - 61.50']
Annual Dividend $,
Annual Dividend %,
Ask,14.2
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,2.3
Bid,11.1
Bid Size,400.0
Closing Price,13.26
Day Change $,0.23
Day Change %,0.0177
Day High,13.33
Day Low,12.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,1.001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,542.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.03
Short Interest,0.07429999999999999
Today's Open,12.92
Volume,96980.0
Volume 10-day Avg,359260.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.8870967741935485
Growth 1yr High Est,2.3499999999999996
Growth 1yr Consensus Est,2.618548387096774
Growth 2yr Low Est,1.3294405032793468
Growth 2yr High Est,0.864054726368159
Growth 2yr Consensus Est,1.096747614823753
Growth 5yr Low Est,0.6647202516396734
Growth 5yr High Est,0.4320273631840795
Growth 5yr Consensus Est,0.5483738074118765
Growth 5yr Actual/Est,0.3029112009877897
Growth 3yr Historic,0.24944779116465865
Price/Earnings (TTM),
Price/Sales (TTM),3.56347
Price/Book (MRQ),2.96895
Price/Cash Flow (TTM),
5yr Low,1.6
5yr High,65.99
5yr Avg Return,0.7420166666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0065122999999999995
Dividend Growth 5yr,
Short Int Current Month,2884330.0
Short Int Prev Month,2492186.0
Short Int Pct of Float,0.0742948
Days to Cover,7.01662
Float,38.82779
Shares Outstanding,40.90948
Institutions Holding Shares,190.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.0724
Operating Profit Margin (TTM),-0.5642
Net Profit Margin (TTM),-0.5878
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0959
EPS Growth (TTM),-1.7237
Revenue Growth (MRQ),-0.1957
Revenue Growth (TTM),0.34520000000000006
Return On Equity (TTM),-0.5509000000000001
Return On Assets (TTM),-0.3123
Return On Investment (TTM),-0.3858
Revenue Per Employee (TTM),364182.0
Total Debt/Total Capital (MRQ),0.3658
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.68
Interest Coverage (MRQ),-22.01
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2015-07-14 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,2015-11-09 00:00:00
newConstructs since,
marketEdge opinion since,
