,ASPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.13,Valuation,
Price/Sales (TTM),3.56,3.27,Valuation,1.0886850152905199
Price/Book (MRQ),2.97,5.58,Valuation,0.5322580645161291
"PEG Ratio (TTM, GAAP)",,0.12,Valuation,
Gross Profit Margin (TTM),-0.0724,0.3453,Profitability,-0.20967274833478136
Operating Profit Margin (TTM),-0.5642,0.0535,Profitability,-10.545794392523366
Net Profit Margin (TTM),-0.5878,0.0204,Profitability,-28.813725490196077
Annual Dividend Yield,,0.0188,Dividend,
Dividend Change %,,0.102,Dividend,
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),-0.0959,-0.6111,Gowth rates,0.15693012600229095
EPS Growth (TTM),-1.7237,1.725,Gowth rates,-0.9992463768115941
Revenue Growth (MRQ),-0.1957,0.212,Gowth rates,-0.9231132075471699
Revenue Growth (TTM),0.34520000000000006,0.23420000000000002,Gowth rates,1.4739538855678909
Return On Equity (TTM),-0.5509000000000001,0.2206,Effectiveness,-2.4972801450589306
Return On Assets (TTM),-0.3123,0.06420000000000001,Effectiveness,-4.864485981308411
Return On Investment (TTM),-0.3858,0.08410000000000001,Effectiveness,-4.5873959571938165
Revenue Per Employee (TTM),364182.0,817013.0,Effectiveness,0.4457481092712111
Total Debt/Total Capital (MRQ),0.3658,0.4105,Financial strength,0.8911084043848966
Change in Debt/Total Capital Quarter over Quarter,,0.001,Financial strength,
Quick Ratio (MRQ),1.68,1.18,Financial strength,1.423728813559322
Interest Coverage (MRQ),-22.01,26.2,Financial strength,-0.8400763358778627
