,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,14.79,14.8,71.5,67.74,24.57,,,,,
low,2.41,3.33,11.95,18.72,8.8,,,,,
change,-0.6497,2.8960000000000004,2.1862,-0.5858,-0.2382,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,232968.0,200435.0,233452.0,232314.0,Balance Sheet
Total Inventory,,,,,,,682.0,1395.0,1408.0,Balance Sheet
Prepaid Expenses,,,,,,2888.0,4967.0,8384.0,5509.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,956.0,1478.0,1693.0,2430.0,Balance Sheet
Total Current Assets,,,,,,236812.0,207562.0,244924.0,241661.0,Balance Sheet
Buildings,,,,,,1133.0,1156.0,1156.0,1181.0,Balance Sheet
Machinery/Equipment,,,,,,167.0,167.0,167.0,275.0,Balance Sheet
Construction in Progress,,,,,,24.0,13.0,25.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,1819.0,1861.0,1801.0,1624.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,3143.0,3197.0,3149.0,3080.0,Balance Sheet
Accumulated Depreciation,,,,,,-602.0,-679.0,-763.0,-848.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,2541.0,2518.0,2386.0,2232.0,Balance Sheet
Other Long Term Assets,,,,,,86.0,965.0,925.0,925.0,Balance Sheet
Total Assets,,,,,,239439.0,211045.0,248235.0,244818.0,Balance Sheet
Accounts Payable,,,,,,4678.0,5065.0,6021.0,5872.0,Balance Sheet
Accrued Expenses,,,,,,11483.0,10510.0,13420.0,16316.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Income Taxes Payable,,,,,,302.0,366.0,258.0,529.0,Balance Sheet
Other Payables,,,,,,204.0,56.0,296.0,269.0,Balance Sheet
Other Current Liabilities,,,,,,,,,392.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,506.0,422.0,554.0,1190.0,Balance Sheet
Total Current Liabilities,,,,,,16667.0,15997.0,19995.0,23378.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,61075.0,91695.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,61075.0,91695.0,Balance Sheet
"Other Liabilities, Total",,,,,,1105.0,1028.0,2903.0,2759.0,Balance Sheet
Total Liabilities,,,,,,17772.0,17025.0,83973.0,117832.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,28.0,28.0,28.0,28.0,Balance Sheet
Additional Paid-In Capital,,,,,,467427.0,471252.0,479164.0,483695.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-245788.0,-277260.0,-314930.0,-356737.0,Balance Sheet
Total Equity,,,,,,221667.0,194020.0,164262.0,126986.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,239439.0,211045.0,248235.0,244818.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,27980.0,27980.0,28018.0,28023.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,0.0,0.0,0.0,137.0,Income Statement
"Cost of Revenue, Total",,,,,,,,,11.0,Income Statement
Selling/Gen/Admin Expense,,,,,,13606.0,6865.0,10640.0,8258.0,Income Statement
Labor & Related Expense,,,,,,,6056.0,7742.0,8796.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,13606.0,12921.0,18382.0,17054.0,Income Statement
Research & Development,,,,,,12525.0,18559.0,17906.0,22062.0,Income Statement
Total Operating Expense,,,,,,26131.0,31480.0,36288.0,39127.0,Income Statement
Total Operating Income,,,,,,-26131.0,-31480.0,-36288.0,-38990.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-6.0,-7.0,-1586.0,-2877.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,12.0,15.0,204.0,,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,,,62.0,Income Statement
"Other, Net",,,,,,,,,62.0,Income Statement
Income Before Tax,,,,,,-26125.0,-31472.0,-37670.0,-41805.0,Income Statement
Income After Tax,,,,,,-26125.0,-31472.0,-37670.0,-41805.0,Income Statement
Net Inc Before Extra Items,,,,,,-26125.0,-31472.0,-37670.0,-41805.0,Income Statement
Total Net Income,,,,,,-26125.0,-31472.0,-37670.0,-41805.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-26125.0,-31472.0,-37670.0,-41805.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-26125.0,-31472.0,-37670.0,-41805.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,27996.0,27980.0,27989.0,28022.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.93,-1.12,-1.35,-1.49,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.93,-1.12,-1.35,-1.49,Income Statement
Diluted Weighted Average Shares,,,,,,27996.0,27980.0,27989.0,28022.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.93,-1.12,-1.35,-1.49,Income Statement
