,BTAI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),3193.01,45.03,Valuation,70.90850544081724
Price/Book (MRQ),3.44,12.61,Valuation,0.27279936558287077
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9197,0.5874,Profitability,1.565713312904324
Operating Profit Margin (TTM),-969.9927,-4.7459,Profitability,204.38540635074486
Net Profit Margin (TTM),-1000.5260000000001,-4.5467,Profitability,220.05542481360106
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1085,-0.0014000000000000002,Gowth rates,77.49999999999999
EPS Growth (TTM),-0.2224,0.027200000000000002,Gowth rates,-8.176470588235293
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.7359,0.1967,Effectiveness,-3.741230299949161
Return On Assets (TTM),-0.5416,0.0016,Effectiveness,-338.49999999999994
Return On Investment (TTM),-0.5856,0.0219,Effectiveness,-26.73972602739726
Revenue Per Employee (TTM),1539.33,1476201.0,Effectiveness,0.0010427645015821017
Total Debt/Total Capital (MRQ),0.4193,0.4675,Financial strength,0.8968983957219251
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),10.28,2.06,Financial strength,4.990291262135922
Interest Coverage (MRQ),-13.55,2.69,Financial strength,-5.037174721189592
