,BTAI
% Above Low,0.7748999999999999
% Held by Institutions,0.4607
52-Wk Range,['8.80 - 24.57']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,14.72
Bid Size,300.0
Closing Price,15.61
Day Change $,0.1
Day Change %,0.0064
Day High,15.77
Day Low,15.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.9
Ex-dividend Date,No dividend
Historical Volatility,0.88
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,437.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.51
Short Interest,0.1244
Today's Open,15.47
Volume,54058.0
Volume 10-day Avg,290771.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.09288537549407128
Growth 1yr High Est,0.3084832904884318
Growth 1yr Consensus Est,0.20068433299125155
Growth 2yr Low Est,0.12510453223166496
Growth 2yr High Est,0.0009999949495204108
Growth 2yr Consensus Est,0.06305226359059268
Growth 5yr Low Est,0.1706848169989986
Growth 5yr High Est,0.04317874059436629
Growth 5yr Consensus Est,0.10693177879668243
Growth 5yr Actual/Est,0.31676018450397775
Growth 3yr Historic,0.2362098017189581
Price/Earnings (TTM),
Price/Sales (TTM),3193.011
Price/Book (MRQ),3.44478
Price/Cash Flow (TTM),
5yr Low,2.41
5yr High,71.5
5yr Avg Return,0.7217
Short Int Current Month,2362736.0
Short Int Prev Month,2533208.0
Short Int Pct of Float,0.12440609999999999
Days to Cover,8.80324
Float,18.99212
Shares Outstanding,28.02323
Institutions Holding Shares,134.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9197
Operating Profit Margin (TTM),-969.9927
Net Profit Margin (TTM),-1000.5260000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1085
EPS Growth (TTM),-0.2224
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.7359
Return On Assets (TTM),-0.5416
Return On Investment (TTM),-0.5856
Revenue Per Employee (TTM),1539.33
Total Debt/Total Capital (MRQ),0.4193
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),10.28
Interest Coverage (MRQ),-13.55
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
