,EVRG
% Above Low,0.0904
% Held by Institutions,0.8521
52-Wk Range,['54.12 - 73.13']
Annual Dividend $,2.45
Annual Dividend %,0.0415
Ask,59.84
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,58.33
Bid Size,100.0
Closing Price,59.01
Day Change $,0.68
Day Change %,0.011699999999999999
Day High,59.22
Day Low,58.35
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.233
Last (size),5700.0
Last (time),5:00p ET 11/25/22
Market Cap,13.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.03
Prev Close,58.33
Short Interest,0.0108
Today's Open,58.77
Volume,1134566.0
Volume 10-day Avg,3168748.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.011428571428571455
Growth 1yr High Est,0.0027855153203342198
Growth 1yr Consensus Est,-0.004321528054118617
Growth 2yr Low Est,0.011626754748142065
Growth 2yr High Est,0.037503868771278204
Growth 2yr Consensus Est,0.024565311759710134
Growth 5yr Low Est,0.06352643982811404
Growth 5yr High Est,0.0666013967512305
Growth 5yr Consensus Est,0.06506391828967227
Growth 5yr Actual/Est,0.06627280668160873
Growth 3yr Historic,0.05364996093313984
Price/Earnings (TTM),17.03079
Price/Sales (TTM),2.37564
Price/Book (MRQ),1.40958
Price/Cash Flow (TTM),7.57589
5yr Low,42.01
5yr High,76.57
5yr Avg Return,0.018899999999999997
EPS Growth 5yr,0.09556800000000001
Revenue Growth 5yr,0.16872489999999998
Dividend Growth 5yr,0.07365440000000001
Short Int Current Month,2464091.0
Short Int Prev Month,2698375.0
Short Int Pct of Float,0.0107595
Days to Cover,1.11146
Float,229.0332
Shares Outstanding,229.5364
Institutions Holding Shares,866.0
FCF Growth 5yr,-0.09814510820890932
"Price/Earnings (TTM, GAAP)",17.03
"PEG Ratio (TTM, GAAP)",4.73
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.22940000000000002
Net Profit Margin (TTM),0.1409
Annual Dividend Yield,0.0415
Dividend Change %,0.05940000000000001
"Dividend Growth Rate, 3 Years",0.0883
EPS Growth (MRQ),1.1996
EPS Growth (TTM),-0.0941
Revenue Growth (MRQ),0.31980000000000003
Revenue Growth (TTM),0.0257
Return On Equity (TTM),0.0844
Return On Assets (TTM),0.027999999999999997
Return On Investment (TTM),0.031400000000000004
Revenue Per Employee (TTM),1156511.0
Total Debt/Total Capital (MRQ),0.5481
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.35
Interest Coverage (MRQ),6.55
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-10-14 00:00:00
researchTeam since,2021-08-06 00:00:00
cfra since,2021-08-05 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
