,EVRG
Price/Earnings (TTM),17.03079
Price/Sales (TTM),2.37564
Price/Book (MRQ),1.40958
Price/Cash Flow (TTM),7.57589
5yr Low,42.01
5yr High,76.57
5yr Avg Return,0.018899999999999997
EPS Growth 5yr,0.09556800000000001
Revenue Growth 5yr,0.16872489999999998
Dividend Growth 5yr,0.07365440000000001
Short Int Current Month,2464091.0
Short Int Prev Month,2698375.0
Short Int Pct of Float,0.0107595
Days to Cover,1.11146
Float,229.0332
Shares Outstanding,229.5364
Institutions Holding Shares,866.0
% Held by Institutions,0.8521110000000001
FCF Growth 5yr,-0.09814510820890932
