,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,33.5,36.65,93.0,52.34,,,,,
low,12.03,9.9,29.21,19.23,,,,,
change,-0.0467,0.9551000000000001,0.4068,-0.40740000000000004,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,171434.0,119842.0,141183.0,84961.0,Balance Sheet
Short Term Investments,,,,,236701.0,260810.0,256377.0,286799.0,Balance Sheet
Cash and Short Term Invs,,,,,408135.0,380652.0,397560.0,371760.0,Balance Sheet
"Total Receivables, Net",,,,,2307.0,2039.0,1036.0,662.0,Balance Sheet
Prepaid Expenses,,,,,7892.0,6803.0,8023.0,9988.0,Balance Sheet
Total Current Assets,,,,,418334.0,389494.0,406619.0,382410.0,Balance Sheet
Buildings,,,,,606.0,,,,Balance Sheet
Machinery/Equipment,,,,,6154.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,4806.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,11566.0,,,,Balance Sheet
Accumulated Depreciation,,,,,-4177.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,7389.0,6858.0,6542.0,6015.0,Balance Sheet
Other Long Term Assets,,,,,7.0,161.0,154.0,196.0,Balance Sheet
Total Assets,,,,,426290.0,397073.0,413875.0,389181.0,Balance Sheet
Accounts Payable,,,,,4798.0,3496.0,3885.0,4367.0,Balance Sheet
Accrued Expenses,,,,,12838.0,9988.0,11347.0,10874.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,20628.0,30308.0,4452.0,3345.0,Balance Sheet
Other Current Liabilities,,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,20628.0,30308.0,4452.0,3345.0,Balance Sheet
Total Current Liabilities,,,,,38264.0,43792.0,19684.0,18586.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,51327.0,39913.0,6201.0,5534.0,Balance Sheet
Total Liabilities,,,,,89591.0,83705.0,25885.0,24120.0,Balance Sheet
Redeemable Preferred Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,,,575231.0,584694.0,633100.0,641872.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-238054.0,-269538.0,-242697.0,-272718.0,Balance Sheet
Unrealized Gain (Loss),,,,,-482.0,-1792.0,-2417.0,-4097.0,Balance Sheet
Total Equity,,,,,336699.0,313368.0,387990.0,365061.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,426290.0,397073.0,413875.0,389181.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,37085.0,37250.0,38449.0,38532.0,Balance Sheet
