,MORF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),14.29,45.03,Valuation,0.31734399289362647
Price/Book (MRQ),2.9,12.61,Valuation,0.22997620935765267
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-0.7862,-4.7459,Profitability,0.16565877915674584
Net Profit Margin (TTM),-0.7553000000000001,-4.5467,Profitability,0.16612048298766138
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-2.1494,-0.0014000000000000002,Gowth rates,1535.285714285714
EPS Growth (TTM),0.425,0.027200000000000002,Gowth rates,15.624999999999998
Revenue Growth (MRQ),-0.9659000000000001,1.3963999999999999,Gowth rates,-0.6917072472071041
Revenue Growth (TTM),3.5995999999999997,0.9747,Gowth rates,3.6930337539755818
Return On Equity (TTM),-0.1568,0.1967,Effectiveness,-0.7971530249110319
Return On Assets (TTM),-0.1355,0.0016,Effectiveness,-84.6875
Return On Investment (TTM),-0.1461,0.0219,Effectiveness,-6.671232876712329
Revenue Per Employee (TTM),734941.0,1476201.0,Effectiveness,0.4978597088065921
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
