,KO
% Below High,0.06709999999999999
% Held by Institutions,0.6951
52-Wk Range,['52.28 - 67.20']
Annual Dividend $,1.76
Annual Dividend %,0.0281
Ask,62.69
Ask Size,900.0
B/A Ratio,0.8888888888888888
B/A Size,800x900
Beta,0.6
Bid,62.65
Bid Size,800.0
Closing Price,62.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.28
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.20500000000000002
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,271.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.48
Prev Close,62.69
Short Interest,0.0074
Today's Open,
Volume,5165499.0
Volume 10-day Avg,13013099.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.08370044052863435
Growth 1yr High Est,0.05020920502092041
Growth 1yr Consensus Est,0.06695482277477738
Growth 2yr Low Est,0.03981769993911394
Growth 2yr High Est,0.04701695310806986
Growth 2yr Consensus Est,0.0434173265235919
Growth 5yr Low Est,0.04795747275502185
Growth 5yr High Est,0.05948749080124324
Growth 5yr Consensus Est,0.05372248177813255
Growth 5yr Actual/Est,0.05076025335532344
Growth 3yr Historic,0.02847855146433345
Price/Earnings (TTM),27.48356
Price/Sales (TTM),6.40256
Price/Book (MRQ),11.8865
Price/Cash Flow (TTM),24.07885
5yr Low,36.27
5yr High,67.2
5yr Avg Return,0.06018333333333334
EPS Growth 5yr,0.08538449999999999
Revenue Growth 5yr,-0.0158188
Dividend Growth 5yr,0.038885
Short Int Current Month,31716908.0
Short Int Prev Month,34365953.0
Short Int Pct of Float,0.007384699999999999
Days to Cover,2.51702
Float,4295.552
Shares Outstanding,4324.513
Institutions Holding Shares,3448.0
FCF Growth 5yr,2.943367263702632
"Price/Earnings (TTM, GAAP)",27.48
"PEG Ratio (TTM, GAAP)",5.48
Gross Profit Margin (TTM),0.5849000000000001
Operating Profit Margin (TTM),0.2605
Net Profit Margin (TTM),0.2353
Annual Dividend Yield,0.0281
Dividend Change %,0.0245
"Dividend Growth Rate, 3 Years",0.027400000000000004
EPS Growth (MRQ),0.4853
EPS Growth (TTM),0.1223
Revenue Growth (MRQ),-0.023100000000000002
Revenue Growth (TTM),0.1201
Return On Equity (TTM),0.4413
Return On Assets (TTM),0.10890000000000001
Return On Investment (TTM),0.1403
Revenue Per Employee (TTM),535987.0
Total Debt/Total Capital (MRQ),0.6183
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2018-07-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-04 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
