,KO
Price/Earnings (TTM),27.48356
Price/Sales (TTM),6.40256
Price/Book (MRQ),11.8865
Price/Cash Flow (TTM),24.07885
5yr Low,36.27
5yr High,67.2
5yr Avg Return,0.06018333333333334
EPS Growth 5yr,0.08538449999999999
Revenue Growth 5yr,-0.0158188
Dividend Growth 5yr,0.038885
Short Int Current Month,31716908.0
Short Int Prev Month,34365953.0
Short Int Pct of Float,0.007384699999999999
Days to Cover,2.51702
Float,4295.552
Shares Outstanding,4324.513
Institutions Holding Shares,3448.0
% Held by Institutions,0.695142
FCF Growth 5yr,2.943367263702632
