,KO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.48,30.98,Valuation,0.8870238863783085
Price/Sales (TTM),6.4,5.41,Valuation,1.1829944547134936
Price/Book (MRQ),11.89,12.08,Valuation,0.984271523178808
"PEG Ratio (TTM, GAAP)",5.48,1.83,Valuation,2.9945355191256833
Gross Profit Margin (TTM),0.5849000000000001,0.5436,Profitability,1.0759749816041209
Operating Profit Margin (TTM),0.2605,0.2061,Profitability,1.2639495390587094
Net Profit Margin (TTM),0.2353,0.1504,Profitability,1.5644946808510638
Annual Dividend Yield,0.0281,0.0217,Dividend,1.294930875576037
Dividend Change %,0.0245,0.0435,Dividend,0.5632183908045978
"Dividend Growth Rate, 3 Years",0.027400000000000004,0.0233,Dividend,1.1759656652360517
EPS Growth (MRQ),0.4853,-56.8582,Gowth rates,-0.008535268439732529
EPS Growth (TTM),0.1223,-0.16890000000000002,Gowth rates,-0.7240970988750739
Revenue Growth (MRQ),-0.023100000000000002,0.11,Gowth rates,-0.21000000000000002
Revenue Growth (TTM),0.1201,0.1207,Gowth rates,0.9950289975144987
Return On Equity (TTM),0.4413,0.37020000000000003,Effectiveness,1.1920583468395463
Return On Assets (TTM),0.10890000000000001,0.0808,Effectiveness,1.347772277227723
Return On Investment (TTM),0.1403,0.1226,Effectiveness,1.1443719412724307
Revenue Per Employee (TTM),535987.0,576805.0,Effectiveness,0.9292343166234689
Total Debt/Total Capital (MRQ),0.6183,0.5343,Financial strength,1.1572150477259966
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,-0.0009,Financial strength,0.7777777777777779
Quick Ratio (MRQ),0.95,1.07,Financial strength,0.8878504672897195
Interest Coverage (MRQ),,9.45,Financial strength,
