,MMC
% Below High,0.061799999999999994
% Held by Institutions,0.8809999999999999
52-Wk Range,['142.80 - 183.14']
Annual Dividend $,2.36
Annual Dividend %,0.0137
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,152.28
Bid Size,
Closing Price,171.82
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",6.67
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.257
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,85.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.78
Prev Close,171.82
Short Interest,0.0087
Today's Open,
Volume,535154.0
Volume 10-day Avg,1572910.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.11499999999999999
Growth 1yr High Est,0.10593900481540919
Growth 1yr Consensus Est,0.11046950240770459
Growth 2yr Low Est,0.08440582959641252
Growth 2yr High Est,0.1081218971827409
Growth 2yr Consensus Est,0.09626386338957671
Growth 5yr Low Est,0.11557248001559756
Growth 5yr High Est,0.13313049016091205
Growth 5yr Consensus Est,0.1243514850882548
Growth 5yr Actual/Est,0.12567648789838975
Growth 3yr Historic,0.076993074325783
Price/Earnings (TTM),25.77562
Price/Sales (TTM),4.09044
Price/Book (MRQ),8.91953
Price/Cash Flow (TTM),20.69557
5yr Low,74.3
5yr High,183.14
5yr Avg Return,0.15023333333333336
EPS Growth 5yr,0.1267178
Revenue Growth 5yr,0.0845101
Dividend Growth 5yr,0.089977
Short Int Current Month,4320272.0
Short Int Prev Month,4407845.0
Short Int Pct of Float,0.0087312
Days to Cover,2.80027
Float,495.4153
Shares Outstanding,496.0095
Institutions Holding Shares,1592.0
FCF Growth 5yr,0.33409273841463366
"Price/Earnings (TTM, GAAP)",25.78
"PEG Ratio (TTM, GAAP)",3.11
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.22010000000000002
Net Profit Margin (TTM),0.1643
Annual Dividend Yield,0.013700000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.0817
EPS Growth (MRQ),-0.43200000000000005
EPS Growth (TTM),0.2616
Revenue Growth (MRQ),-0.11320000000000001
Revenue Growth (TTM),0.0909
Return On Equity (TTM),0.35100000000000003
Return On Assets (TTM),0.10529999999999999
Return On Investment (TTM),0.1351
Revenue Per Employee (TTM),251024.0
Total Debt/Total Capital (MRQ),0.5372
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.34
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-02-22 00:00:00
theStreet since,2010-05-05 00:00:00
cfra since,2021-07-22 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
