,MMC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.78,19.05,Valuation,1.3532808398950131
Price/Sales (TTM),4.09,2.31,Valuation,1.7705627705627704
Price/Book (MRQ),8.92,3.65,Valuation,2.4438356164383563
"PEG Ratio (TTM, GAAP)",3.11,6.78,Valuation,0.45870206489675514
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.22010000000000002,0.1342,Profitability,1.6400894187779433
Net Profit Margin (TTM),0.1643,0.1081,Profitability,1.5198889916743756
Annual Dividend Yield,0.013700000000000002,0.0167,Dividend,0.8203592814371259
Dividend Change %,,-0.004,Dividend,
"Dividend Growth Rate, 3 Years",0.0817,0.0233,Dividend,3.506437768240343
EPS Growth (MRQ),-0.43200000000000005,-0.11750000000000001,Gowth rates,3.6765957446808515
EPS Growth (TTM),0.2616,-0.0281,Gowth rates,-9.309608540925266
Revenue Growth (MRQ),-0.11320000000000001,0.0922,Gowth rates,-1.227765726681128
Revenue Growth (TTM),0.0909,0.0431,Gowth rates,2.109048723897912
Return On Equity (TTM),0.35100000000000003,0.35479999999999995,Effectiveness,0.9892897406989856
Return On Assets (TTM),0.10529999999999999,0.031200000000000002,Effectiveness,3.3749999999999996
Return On Investment (TTM),0.1351,0.032,Effectiveness,4.221875
Revenue Per Employee (TTM),251024.0,1270541.0,Effectiveness,0.19757253012693018
Total Debt/Total Capital (MRQ),0.5372,0.38939999999999997,Financial strength,1.3795582948125322
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0019,Financial strength,0.47368421052631576
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),7.34,10.36,Financial strength,0.7084942084942085
