,MNTV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.35,9.39,Valuation,0.25026624068157616
Price/Book (MRQ),4.29,12.63,Valuation,0.339667458432304
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8154000000000001,0.7206,Profitability,1.1315570358034972
Operating Profit Margin (TTM),-0.24420000000000003,0.2172,Profitability,-1.1243093922651934
Net Profit Margin (TTM),-0.2684,0.1553,Profitability,-1.7282678686413395
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.2797,-0.0752,Gowth rates,-3.7194148936170213
EPS Growth (TTM),-0.2457,-0.2824,Gowth rates,0.8700424929178471
Revenue Growth (MRQ),0.0101,0.15560000000000002,Gowth rates,0.06491002570694086
Revenue Growth (TTM),0.1133,0.1906,Gowth rates,0.5944386149003148
Return On Equity (TTM),-0.4105,0.2189,Effectiveness,-1.8752855185015986
Return On Assets (TTM),-0.1478,0.10740000000000001,Effectiveness,-1.376163873370577
Return On Investment (TTM),-0.22160000000000002,0.1387,Effectiveness,-1.5976928622927185
Revenue Per Employee (TTM),297416.0,667721.0,Effectiveness,0.44541956895170287
Total Debt/Total Capital (MRQ),0.4158,0.39659999999999995,Financial strength,1.048411497730711
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0004,Financial strength,0.7499999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-4.23,0.28,Financial strength,-15.107142857142858
