,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,20.0,19.82,26.24,28.12,21.98,,,,,
low,10.05,11.29,9.35,16.35,5.14,,,,,
change,-0.3456,0.4818,0.4202,-0.168,-0.6468,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,306.0,238.0,209.0,193.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,33.0,34.0,35.0,33.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,-1.0,-2.0,Balance Sheet
"Total Receivables, Net",,,,,,32.0,33.0,33.0,31.0,Balance Sheet
Prepaid Expenses,,,,,,11.0,16.0,15.0,11.0,Balance Sheet
Restricted Cash - Current,,,,,,0.0,1.0,1.0,0.0,Balance Sheet
Other Current Assets,,,,,,8.0,9.0,9.0,9.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,8.0,10.0,10.0,10.0,Balance Sheet
Total Current Assets,,,,,,357.0,296.0,267.0,245.0,Balance Sheet
Buildings,,,,,,55.0,54.0,24.0,24.0,Balance Sheet
Machinery/Equipment,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,63.0,61.0,44.0,41.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,125.0,123.0,75.0,73.0,Balance Sheet
Accumulated Depreciation,,,,,,-68.0,-69.0,-38.0,-38.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,58.0,54.0,37.0,35.0,Balance Sheet
"Goodwill, Net",,,,,,464.0,462.0,459.0,455.0,Balance Sheet
Intangibles - Gross,,,,,,91.0,94.0,68.0,67.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-52.0,-58.0,-32.0,-32.0,Balance Sheet
Intangibles - Net,,,,,,39.0,37.0,36.0,35.0,Balance Sheet
Deferred Charges,,,,,,13.0,14.0,15.0,15.0,Balance Sheet
Restricted Cash - LT,,,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,,,9.0,9.0,8.0,8.0,Balance Sheet
Total Assets,,,,,,940.0,872.0,822.0,793.0,Balance Sheet
Accounts Payable,,,,,,7.0,12.0,10.0,11.0,Balance Sheet
Accrued Expenses,,,,,,86.0,72.0,77.0,70.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,201.0,215.0,218.0,213.0,Balance Sheet
Total Current Liabilities,,,,,,296.0,302.0,307.0,296.0,Balance Sheet
Total Long Term Debt,,,,,,210.0,184.0,184.0,183.0,Balance Sheet
Total Debt,,,,,,212.0,186.0,186.0,185.0,Balance Sheet
Deferred Income Tax,,,,,,6.0,6.0,6.0,6.0,Balance Sheet
"Other Liabilities, Total",,,,,,74.0,71.0,50.0,47.0,Balance Sheet
Total Liabilities,,,,,,585.0,563.0,547.0,533.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,972.0,964.0,962.0,972.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-618.0,-655.0,-683.0,-704.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,-1.0,-4.0,-8.0,Balance Sheet
Total Equity,,,,,,354.0,309.0,274.0,260.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,940.0,872.0,822.0,793.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,150.0,150.0,149.0,148.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,117342.0,116986.0,120163.0,121375.0,Income Statement
"Cost of Revenue, Total",,,,,,21800.0,22603.0,22191.0,21256.0,Income Statement
Selling/Gen/Admin Expense,,,,,,82842.0,68261.0,71137.0,66485.0,Income Statement
Labor & Related Expense,,,,,,12707.0,13440.0,15398.0,14096.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,95549.0,81701.0,86535.0,80581.0,Income Statement
Research & Development,,,,,,38383.0,34916.0,34030.0,35074.0,Income Statement
Depreciation/Amortization,,,,,,989.0,1452.0,635.0,459.0,Income Statement
Restructuring Charge,,,,,,0.0,4883.0,-3458.0,287.0,Income Statement
Other Unusual Expnse (In),,,,,,,6500.0,5700.0,0.0,Income Statement
Unusual Expense (Income),,,,,,0.0,11383.0,2242.0,287.0,Income Statement
Total Operating Expense,,,,,,156721.0,152055.0,145633.0,137657.0,Income Statement
Total Operating Income,,,,,,-39379.0,-35069.0,-25470.0,-16282.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-2321.0,-2226.0,-2378.0,-3092.0,Income Statement
"Inter Income, Non-Operating",,,,,,151.0,165.0,444.0,946.0,Income Statement
"Invest Income, Non-Operat",,,,,,-339.0,127.0,-519.0,-1633.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-188.0,292.0,-75.0,-687.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-7.0,-158.0,12.0,2.0,Income Statement
"Other, Net",,,,,,-7.0,-158.0,12.0,2.0,Income Statement
Income Before Tax,,,,,,-41895.0,-37161.0,-27911.0,-20059.0,Income Statement
Income Tax - Total,,,,,,-433.0,216.0,640.0,271.0,Income Statement
Income After Tax,,,,,,-41462.0,-37377.0,-28551.0,-20330.0,Income Statement
Net Inc Before Extra Items,,,,,,-41462.0,-37377.0,-28551.0,-20330.0,Income Statement
Total Net Income,,,,,,-41462.0,-37377.0,-28551.0,-20330.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-41462.0,-37377.0,-28551.0,-20330.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-41462.0,-37377.0,-28551.0,-20330.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,149370.0,150262.0,148646.0,146953.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.28,-0.25,-0.19,-0.14,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.28,-0.25,-0.19,-0.14,Income Statement
Diluted Weighted Average Shares,,,,,,149370.0,150262.0,148646.0,146953.0,Income Statement
