,NEXT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),,7.57,Valuation,
Price/Book (MRQ),10.76,4.65,Valuation,2.313978494623656
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),,0.35119999999999996,Profitability,
Operating Profit Margin (TTM),,0.192,Profitability,
Net Profit Margin (TTM),,0.0358,Profitability,
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.465,2.3421000000000003,Gowth rates,-0.19853977199948764
EPS Growth (TTM),-1.0632,7.2215,Gowth rates,-0.1472270303953472
Revenue Growth (MRQ),,0.7168000000000001,Gowth rates,
Revenue Growth (TTM),,47.807,Gowth rates,
Return On Equity (TTM),-1.3359,0.3993,Effectiveness,-3.345604808414726
Return On Assets (TTM),-0.179,0.15810000000000002,Effectiveness,-1.1321948134092346
Return On Investment (TTM),-0.18710000000000002,0.2237,Effectiveness,-0.8363880196691998
Revenue Per Employee (TTM),0.0,7554984.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.3658,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.002,Financial strength,
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),,13.28,Financial strength,
