,NEXT
% Below High,0.35850000000000004
% Held by Institutions,0.8281999999999999
52-Wk Range,['2.08 - 8.95']
Annual Dividend $,
Annual Dividend %,
Ask,5.64
Ask Size,1000.0
Ask close,7.08
B/A Ratio,1.0
B/A Size,1000x1000
Beta,1.0
Bid,5.1
Bid Size,1000.0
Bid close,4.48
Change Since Close,-0.22| |(-3.83%)
Closing Price,5.74
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.58
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,5.52
Market Cap,828.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.74
Short Interest,0.0282
Today's Open,
Volume,3.0
Volume 10-day Avg,619434.0
Volume Past Day,(Light)
Next Earnings Announcement,
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.3285714285714287
Growth 2yr High Est,-0.29729729729729726
Growth 2yr Consensus Est,1.0156370656370657
Growth 5yr Low Est,2.3285714285714287
Growth 5yr High Est,-0.29729729729729726
Growth 5yr Consensus Est,1.0156370656370657
Growth 5yr Actual/Est,0.30181013937833195
Growth 3yr Historic,-0.057411674347158215
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),10.76494
Price/Cash Flow (TTM),
5yr Low,1.12
5yr High,10.29
5yr Avg Return,0.04510000000000002
Short Int Current Month,3810734.0
Short Int Prev Month,3933958.0
Short Int Pct of Float,0.0282242
Days to Cover,7.46541
Float,135.153
Shares Outstanding,144.3921
Institutions Holding Shares,125.0
FCF Growth 5yr,0.2668231918841654
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.465
EPS Growth (TTM),-1.0632
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-1.3359
Return On Assets (TTM),-0.179
Return On Investment (TTM),-0.18710000000000002
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
